"CELL_TYPE"	"Pt101_Pre"	"Pt103_Pre"	"Pt106_Pre"	"Pt10_Pre"	"Pt11_Pre"	"Pt17_Pre"	"Pt18_Pre"	"Pt1_Pre"	"Pt23_Pre"	"Pt24_Pre"	"Pt26_Pre"	"Pt27_Pre"	"Pt28_Pre"	"Pt29_Pre"	"Pt2_Pre"	"Pt30_Pre"	"Pt31_Pre"	"Pt34_Pre"	"Pt36_Pre"	"Pt37_Pre"	"Pt37_Pre.2"	"Pt38_Pre"	"Pt39_Pre"	"Pt3_Pre"	"Pt3_Pre.2"	"Pt44_Pre"	"Pt46_Pre"	"Pt47_Pre"	"Pt48_Pre"	"Pt49_Pre"	"Pt4_Pre"	"Pt52_Pre"	"Pt59_Pre"	"Pt5_Pre"	"Pt5_Pre.2"	"Pt62_Pre"	"Pt65_Pre"	"Pt66_Pre"	"Pt67_Pre"	"Pt72_Pre"	"Pt76_Pre"	"Pt77_Pre"	"Pt78_Pre"	"Pt78_Pre.2"	"Pt79_Pre"	"Pt82_Pre"	"Pt84_Pre"	"Pt85_Pre"	"Pt89_Pre"	"Pt8_Pre"	"Pt90_Pre"	"Pt92_Pre"	"Pt92_Pre.2"	"Pt94_Pre"	"Pt98_Pre"	"Pt9_Pre"
"Eosinophil"	0.0800919342	-0.0157047416	-0.0843105178	-0.1066164274	-0.0535849738	-0.0376590373	0.0859118278	0.0347747777	-0.0658009811	0.0919805019	-0.0420379846	-0.0493067047	-0.0005804874	-0.006425969	0.0071246831	-0.0913821457	-0.0560124861	0.0228791723	0.0110464368	-0.1065291707	-0.0989865293	-0.124233583	-0.1495734179	-0.0404603726	-0.0328425771	-0.0409110028	-0.0093954439	-0.0474135891	-0.0674434364	-0.0023974527	-0.0861764726	-0.1195862934	-0.0328991366	-0.0029169086	0.0679106108	-0.1134843617	0.0056527662	-0.1526329395	-0.0768020986	-0.1253975203	-0.1596951381	0.039699739	-0.1403273455	-0.0946274129	-0.0878466664	-0.016587012	-0.0719892484	-0.1225158692	-0.1027855005	-0.0317260947	0.0817406878	-0.0314370148	0.0180493424	-0.017452082	-0.0447739573	-0.1267826923
"Gamma_delta_T_cell"	0.3729188725	0.4448740031	0.390837969	0.3300494072	0.4459713352	0.347541112	0.3944177852	0.3844845267	0.4441430989	0.4493625506	0.3247449962	0.387379166	0.376663486	0.4043606543	0.3808786092	0.2970103568	0.3974340372	0.43677379	0.4502160471	0.3785975648	0.4202218749	0.3134355261	0.3031907534	0.3485191507	0.3656247577	0.3952728239	0.4708238568	0.4022246725	0.4197948255	0.4219320548	0.3543190663	0.3997367146	0.425203131	0.4320865464	0.4597998894	0.2833471762	0.3309553703	0.355568943	0.2705748124	0.3470795801	0.3310595499	0.3917019951	0.3064121552	0.2849027581	0.3140417207	0.426014482	0.3145217267	0.3355282681	0.3592410351	0.3798795276	0.4225830289	0.3723861754	0.3531859015	0.3727152304	0.339854917	0.3807841864
"Immature_B_cell"	0.6257889903	0.2917892776	0.0883423675	0.0481420292	0.2036753683	-0.0448658007	0.4745717532	0.2294704112	0.157339322	0.3321434643	0.0853452735	0.1228959635	0.0888865945	0.1270384332	0.2068521656	-0.024791826	0.1891271892	0.3362697148	0.1697169262	0.0455305448	0.1122099039	0.0339440975	-0.1164018967	0.0341951238	0.077845917	0.1368286806	0.2842263544	0.1935955823	0.1343548851	0.2533128886	0.1224586971	0.101775863	0.2460727444	0.2551628896	0.3076363129	0.0057220774	0.2235654033	-0.0709696011	0.0368855453	0.0940709347	-0.062144812	0.4296580723	-0.1571830265	-0.1727178014	0.0712269526	0.1451869625	-0.0521019113	-0.0026733568	-0.0223482183	0.1692298397	0.2009563077	0.2095682179	0.2333020695	0.1742332632	0.0683300422	0.0236775975
"Immature_dendritic_cell"	0.3496336995	0.4642236519	0.4003841778	0.3323766982	0.4720327925	0.3595597325	0.4047125512	0.4373475114	0.4190093559	0.4567414887	0.3674924463	0.4062269972	0.3708325904	0.4735039142	0.4652992499	0.3050301955	0.4001940746	0.4776141391	0.418519091	0.4432054943	0.4332912142	0.3409886459	0.3016338893	0.4066371447	0.4213770048	0.384582508	0.478932803	0.4271287841	0.4033280955	0.4225525474	0.3510284345	0.3924564399	0.4411825429	0.4328523812	0.4711568226	0.355505662	0.3927904366	0.3533846807	0.4108406774	0.4056678847	0.3803303981	0.3882403938	0.3745287434	0.3749186015	0.3952211896	0.4122473706	0.3459500219	0.3955116036	0.4396133263	0.4042403266	0.4864733173	0.4129524543	0.4136250839	0.391017342	0.3670195392	0.3438358907
"Macrophage"	0.2010726434	0.2920684944	0.1187949766	0.0546689492	0.1385177116	-0.0526868536	0.1329375778	0.1693189586	0.2344508071	0.3150316031	-0.0103169089	0.1751600649	0.0585739018	0.1174107286	0.2011191408	-0.0428103667	0.0672985805	0.2934292623	0.3341992015	0.03114985	0.0726882885	0.0043391052	-0.0126437745	0.0698511636	0.1265224029	0.1707414043	0.3431980786	0.1826912267	0.2056910781	0.2189038635	0.0854508267	0.0956960696	0.2260956839	0.1957004793	0.2940475594	-0.0044773642	0.115489371	0.0413381853	-0.017518425	0.0740317558	0.0574148212	0.1578120873	0.0219510765	0.0278613856	-0.0079165663	0.1198810679	-0.0626034061	0.0545572815	0.0558169623	0.13883243	0.2193465227	0.1616153014	0.1574402811	0.1544608669	0.0125871386	0.1096930774
"Mast_cell"	0.1675604025	0.3364257524	0.0766583475	-0.0194834245	0.1626374841	-0.0522628555	0.1357246877	0.1395412558	0.1558234739	0.2976090136	0.0048781468	0.2262698848	0.0499373354	0.1164843701	0.1107009412	-0.0168354284	0.0399582345	0.2905531282	0.3295172532	0.1333873665	0.117500411	-0.0462098564	-0.009564391	0.0684845896	0.0879121676	0.2081768981	0.3495235958	0.2383048855	0.1434208407	0.1864040718	0.1255015799	0.1478848851	0.223254661	0.0915012099	0.1724677072	-0.0009426992	0.0553386249	-0.030427739	-0.017235307	0.0126340268	0.0696000593	0.1801145839	0.0239590744	0.004373454	0.0366019811	0.0817505862	-0.0541362921	0.0407486524	0.2153907955	0.1488901124	0.2736769262	0.1456596457	0.1308870445	0.1108938648	-0.0446534139	0.0401416553
"MDSC"	0.6171447243	0.6098479112	0.3879108542	0.2238773479	0.505723972	0.1472723424	0.5103618971	0.4923911712	0.5028670301	0.6318782202	0.1945122199	0.4192318297	0.3154286872	0.4244222828	0.5371410359	0.1666459498	0.4194601494	0.6486443404	0.5175069624	0.3582852598	0.4113402344	0.2253350399	0.1376391923	0.3155165625	0.3611678133	0.4777342513	0.6431107469	0.4678421492	0.4403871265	0.5660577717	0.4177828907	0.3490145897	0.553752717	0.523545439	0.6080634222	0.2756988001	0.401314042	0.2669886955	0.2506595077	0.3243971196	0.2813920297	0.54694315	0.1386940907	0.1244053909	0.2291539578	0.4252998731	0.1432860391	0.2275246606	0.3349242691	0.421243314	0.4933269097	0.5104630713	0.5202114609	0.4330308157	0.2682601378	0.3605702345
"Memory_B_cell"	0.3464151607	0.144008038	0.1772528751	0.1814975306	0.2436716445	0.1256548597	0.2327765195	0.164249895	0.1325837225	0.2147472529	0.1621851411	0.2055771863	0.1968252709	0.2053237006	0.1877739202	0.12013531	0.1807329262	0.1865041194	0.165891009	0.1896425464	0.1547887942	0.1562170067	0.2196778688	0.1580807316	0.1277538816	0.1803134702	0.1515237724	0.1878642321	0.163965227	0.1544640081	0.1735255468	0.2023146175	0.1462919524	0.2187023882	0.2351666588	0.1031279024	0.1526909376	0.1487243599	0.0718215962	0.1896764635	0.1646911022	0.1821407047	0.1982788229	0.188527092	0.1832096539	0.1525412397	0.1386650351	0.1493047151	0.1412004403	0.1668513781	0.2048298224	0.1650941168	0.177058794	0.1858844422	0.0969762757	0.1403471812
"Monocyte"	0.4601443127	0.4212328232	0.4064691051	0.354536539	0.3822673748	0.3409251306	0.4275423616	0.4034894176	0.4025150865	0.4152342447	0.3642169775	0.4013235475	0.3238114066	0.3741199002	0.4139111401	0.312427271	0.3810454603	0.4728765052	0.4122962367	0.3819151069	0.3915144008	0.3787522673	0.2889424457	0.3699282615	0.3837604061	0.3362744772	0.4342912072	0.3977605617	0.4949357552	0.4131560042	0.3563772392	0.4443423541	0.4113544686	0.4171905276	0.4580589396	0.3499100104	0.4031838042	0.358824328	0.3772763451	0.3669899852	0.3151916464	0.4029101205	0.3373760189	0.3363305886	0.3654745795	0.3983294661	0.3414587616	0.3517005003	0.3645004808	0.3673844198	0.4040801528	0.4069401786	0.4049614413	0.4025546226	0.3442282182	0.3170101231
"Natural_killer_cell"	0.334166476	0.3617007561	0.3884022569	0.2797016196	0.3556888863	0.1910958135	0.359880161	0.3560257924	0.386806129	0.3866179611	0.3143343211	0.3405080799	0.2757054484	0.3208865962	0.3872367245	0.2137556721	0.3314599326	0.4371106607	0.3593465048	0.3130936796	0.3268381177	0.2539896647	0.2379002301	0.3181628731	0.3258494551	0.407667317	0.3782350085	0.3998178942	0.4050647326	0.4091347191	0.2653913015	0.3293742646	0.3662397803	0.3001882865	0.3401914526	0.2559278775	0.3403199146	0.2612754511	0.2834976557	0.2576526377	0.286635068	0.3848409058	0.2450129418	0.2456927124	0.2931327971	0.3258452846	0.206118603	0.3116127792	0.2916147212	0.352429848	0.3411854665	0.3615646121	0.3762665555	0.3328128827	0.2929844774	0.3408510362
"Natural_killer_T_cell"	0.2143329772	0.1913416569	0.1398577912	0.0837459808	0.1698561123	0.0774184255	0.1797565174	0.1654818034	0.2023614779	0.2605071407	0.0779601827	0.1745243173	0.1435504184	0.1230657034	0.1869008467	0.0681795847	0.1066535059	0.2399037319	0.217976488	0.0814092711	0.1009250279	0.0633815238	0.0625936944	0.1181749434	0.1349690625	0.1571609072	0.2518025616	0.1783951573	0.1572900106	0.2137747111	0.0844325331	0.1197850498	0.1822970055	0.1350859732	0.182576021	0.0781296494	0.1730441518	0.0424595264	0.0299575934	0.0680169724	0.076793447	0.1986232499	0.0883311976	0.0745515465	0.0895750814	0.1357350952	-0.0125652143	0.0856664423	0.1177907449	0.1685118431	0.1630554079	0.1822075128	0.1811552124	0.1649050245	0.0848488862	0.1005503584
"Neutrophil"	0.0844657042	-0.1207787271	-0.2022965395	-0.3214839731	-0.0092127968	-0.2981332839	0.0141686096	-0.1487488969	-0.0412702235	0.0357176748	-0.2166962247	0.0744620311	-0.2349546566	-0.2273153024	-0.0822931328	-0.3423124375	-0.1711417586	-0.119045253	0.0201132155	-0.0874791602	-0.0135876284	-0.2155384947	-0.2578765876	-0.0798598495	-0.0151217564	-0.1500753807	-0.0865873897	-0.1330031291	0.0851740958	-0.1325143903	0.0059434275	-0.0753115958	-0.1231609317	0.1555956486	0.2875030363	-0.2202793088	-0.2866286497	-0.2678006054	-0.2869068383	-0.1190895954	-0.0051971473	-0.1609115307	-0.3186411864	-0.3415905279	-0.3442802573	-0.2675391673	-0.2892186231	-0.2520780712	-0.1186311496	-0.1281884298	0.2485633521	-0.2100632716	-0.175344597	-0.0890976567	-0.3272074265	-0.1659799313
"Plasmacytoid_dendritic_cell"	0.4627519413	0.4239546638	0.4000560419	0.3709196454	0.4326320165	0.3872393426	0.4312475517	0.4272668332	0.4213395594	0.4429485566	0.358807586	0.4388914297	0.376046029	0.3977781895	0.4321034831	0.3493780327	0.4117949521	0.4485842592	0.461638857	0.3997922372	0.3805735364	0.3782479087	0.3548631547	0.4054006353	0.4277379172	0.4100355826	0.4540510054	0.4278253453	0.3986456182	0.4385723365	0.4084383534	0.4205138389	0.4037971509	0.438593888	0.4683931885	0.3618309484	0.3946955762	0.3739442903	0.3673416872	0.4077226912	0.3949814201	0.4383994104	0.3369899192	0.3441295282	0.3776116071	0.3919204454	0.3709370873	0.3818895048	0.429200565	0.4092769744	0.4472029776	0.4000784159	0.403465524	0.4316867217	0.3902556362	0.3902833059
"Regulatory_T_cell"	0.3871542293	0.4184960029	0.322988628	0.1802617706	0.3667489455	0.095697136	0.3336359329	0.3923540828	0.4877451054	0.5134054476	0.1295705185	0.3004993666	0.2211701552	0.4083311762	0.4277499038	0.0791939063	0.287209907	0.5073816511	0.4299800945	0.1516510959	0.2031856992	0.1859531459	0.0830443449	0.3067940615	0.3706303671	0.4412712099	0.4950758538	0.4118550949	0.3689879231	0.4385326398	0.3382914579	0.2751923727	0.432683087	0.3788577896	0.473278788	0.2008081367	0.3575918538	0.1573254483	0.1186700434	0.2232080317	0.2628640675	0.379458741	0.119765284	0.1261334595	0.1395633068	0.3326669718	0.0530707857	0.1719931648	0.2591564503	0.2992065423	0.393195086	0.2927998938	0.2932417876	0.3364742828	0.1511785169	0.3652168519
"T_follicular_helper_cell"	0.3306489284	0.3583774718	0.2408488119	0.1526562009	0.3076261287	0.084583132	0.319874532	0.2786503468	0.2905604123	0.3669189011	0.1197754304	0.1796710685	0.1743331751	0.2688258063	0.3023631961	0.1125606691	0.2249278936	0.3714218992	0.3368678824	0.1970836217	0.2326377208	0.1070736995	0.0833168169	0.1396178701	0.1695557186	0.250277752	0.3648311002	0.2785103933	0.2590686173	0.3256323457	0.1629144972	0.2204091302	0.327662528	0.2404930844	0.303641536	0.1293775142	0.2637148006	0.1126919254	0.1656790521	0.1875654001	0.0978393443	0.3012260185	0.087876295	0.0703732315	0.2065984097	0.2438610984	0.1292295135	0.1123546519	0.1984840286	0.2721407729	0.2637780496	0.2877450574	0.2763658419	0.2517751838	0.1993091901	0.2546650258
"Type_1_T_helper_cell"	0.2916725317	0.2642378825	0.1643091	0.0924174756	0.2058631118	0.0872578657	0.2280950481	0.2103930319	0.2440209849	0.2938318504	0.1068217531	0.1725271974	0.1467866178	0.1552402352	0.2297124448	0.1124942792	0.1438371575	0.2923936662	0.2464332652	0.1450537063	0.1821193518	0.0958870888	0.0274065588	0.1456992285	0.1700469163	0.20508185	0.2863008391	0.2441267234	0.2189239745	0.2813956698	0.1696726519	0.1920121253	0.2123615654	0.2108658466	0.2495149942	0.1274412297	0.2050173277	0.0700002164	0.1337996905	0.1127162149	0.1539696416	0.2855711291	0.062369141	0.0421739476	0.1030490821	0.1858684635	0.0996276982	0.0875369599	0.1742721351	0.2002077239	0.2040786811	0.2154521174	0.223738831	0.1781976867	0.1189882654	0.1420176912
"Type_17_T_helper_cell"	0.002366342	-0.0344561515	-0.0955750378	-0.1243202077	-0.0506235609	-0.1617490747	-0.0919345484	-0.0537456305	-0.0380158124	0.0007345045	-0.1111940162	0.0202013872	-0.0588675569	-0.0913936548	-0.0576968701	-0.1235693471	-0.1198077506	-0.015532836	-0.0559482595	-0.1005088333	-0.0771448898	-0.1185420399	-0.1847058311	-0.0805842855	-0.05587776	-0.076578958	-0.020564642	-0.0685672232	-0.0065528652	-0.0367103191	-0.0987943427	-0.050398017	-0.0666370895	-0.041901575	-0.019887034	-0.1092872525	-0.0339785838	-0.1024807754	0.0133619582	-0.1263446807	-0.0860430061	-0.0315820793	-0.1592780024	-0.184337797	-0.0639157003	-0.1189730724	-0.145497344	-0.1143328497	-0.0470392301	-0.0778753463	-0.0136832468	-0.0592276109	-0.0517511477	-0.0935322247	-0.1388055136	-0.0682648895
"Type_2_T_helper_cell"	0.170928691	0.1570993797	0.2753982847	0.2840299169	0.2493660455	0.0930863205	0.2987911188	0.2626662929	0.137529517	0.1670023315	0.1670379067	0.2422179017	0.198558263	0.3228017299	0.2253664323	0.2177396145	0.2210496748	0.2333054199	0.1540223075	0.2244556494	0.2484082196	0.1104414921	0.313777861	0.2476095207	0.2444747662	0.3203015007	0.1384147732	0.2162984033	0.1935251928	0.2246269645	0.2037066409	0.207481003	0.2170499351	0.1908382766	0.2081694883	0.2115130425	0.2230764395	0.1631282187	0.1613484446	0.2332537965	0.1690705458	0.2224688571	0.2622765331	0.2484036652	0.2404031102	0.1888536044	0.1095187751	0.1401038265	0.201664	0.2081638406	0.2801936193	0.2749384585	0.2853449493	0.1794705179	0.1626934412	0.1766844522
