"CELL_TYPE"	"Pt101_Pre"	"Pt103_Pre"	"Pt106_Pre"	"Pt10_Pre"	"Pt11_Pre"	"Pt17_Pre"	"Pt18_Pre"	"Pt1_Pre"	"Pt23_Pre"	"Pt24_Pre"	"Pt26_Pre"	"Pt27_Pre"	"Pt28_Pre"	"Pt29_Pre"	"Pt2_Pre"	"Pt30_Pre"	"Pt31_Pre"	"Pt34_Pre"	"Pt36_Pre"	"Pt37_Pre"	"Pt37_Pre.2"	"Pt38_Pre"	"Pt39_Pre"	"Pt3_Pre"	"Pt3_Pre.2"	"Pt44_Pre"	"Pt46_Pre"	"Pt47_Pre"	"Pt48_Pre"	"Pt49_Pre"	"Pt4_Pre"	"Pt52_Pre"	"Pt59_Pre"	"Pt5_Pre"	"Pt5_Pre.2"	"Pt62_Pre"	"Pt65_Pre"	"Pt66_Pre"	"Pt67_Pre"	"Pt72_Pre"	"Pt76_Pre"	"Pt77_Pre"	"Pt78_Pre"	"Pt78_Pre.2"	"Pt79_Pre"	"Pt82_Pre"	"Pt84_Pre"	"Pt85_Pre"	"Pt89_Pre"	"Pt8_Pre"	"Pt90_Pre"	"Pt92_Pre"	"Pt92_Pre.2"	"Pt94_Pre"	"Pt98_Pre"	"Pt9_Pre"
"Activated_B_cell"	0.6090103104	0.1644687095	-0.1291261277	-0.0459192998	-0.1024998255	-0.2087025945	0.4050017077	0.0229850154	-0.0520826872	0.1639968765	-0.0533094659	-0.0939011754	-0.0782796831	-0.0525516252	-0.0835581094	-0.2175146218	0.0452608636	0.0425243986	-0.1571145723	-0.1643024601	-0.1460420209	-0.2368964911	-0.2109696231	-0.2385575048	-0.2457694233	-0.0822998758	0.0073708501	-0.1169533742	-0.0243585399	0.1431696058	-0.0975694619	-0.1234755986	-0.0063132836	-0.0109190413	0.021227787	-0.2421135797	0.0226317749	-0.2482676133	-0.0085656628	-0.1783846439	-0.3513556596	0.3926943477	-0.2453766588	-0.2488124453	-0.1676079796	-0.0737459551	-0.2042803969	-0.1989545004	-0.2135005995	-0.0512816108	-0.067498741	-0.020674316	0.0348321798	0.0389776422	-0.1362181611	-0.2616147595
"Activated_CD4_T_cell"	0.4808396911	0.2454895607	0.2441360325	0.2194243963	0.3305081484	0.0864518175	0.4347724384	0.3983836818	0.2786099754	0.3567080353	0.1699255476	0.3012173548	0.2693646334	0.3014201312	0.3369596117	0.2615620258	0.1933738207	0.3594017893	0.0745875685	0.1759738705	0.2524154066	0.1553188721	0.1970046172	0.3415930826	0.345918271	0.3838361105	0.219026219	0.2125939687	0.1305270399	0.2817601552	0.2431152114	0.1529157324	0.3487349132	0.3589224016	0.3541513615	0.174301529	0.3245292667	0.1317101367	0.1137512153	0.2426386035	0.2218674674	0.4303087228	0.2294402516	0.1769614096	0.2214094855	0.2550189134	0.0582866986	0.1068189874	0.1780257546	0.2642725918	0.4125995274	0.3215025635	0.3631982325	0.3010328354	0.1321584509	0.1368753018
"Activated_CD8_T_cell"	0.5576989859	0.5058221349	0.305922206	0.164851475	0.3362653738	0.1028365265	0.4734258357	0.4360083947	0.3249368244	0.397969979	0.1600074536	0.2503179999	0.2984014837	0.2457465662	0.393013474	0.17436701	0.3084137126	0.4604583698	0.1787729339	0.1884580319	0.2943386937	0.1100913948	0.1070008034	0.1255883209	0.147235405	0.3776716563	0.4321651974	0.1929734449	0.2948074733	0.4656931212	0.3219196397	0.219308913	0.4102261059	0.4058659853	0.411220108	0.2283513283	0.3332451679	0.1687297202	0.3163217769	0.1030440671	0.1730524315	0.4905045293	0.1174347032	0.0892946024	0.2303191543	0.2999704954	0.0946799019	0.0747475052	0.1880022307	0.3012192965	0.4158192453	0.4444500487	0.477385174	0.3339956892	0.2007412054	0.0850268411
"Activated_dendritic_cell"	0.3404110886	0.3333053657	0.2369083856	0.1866177622	0.2744330707	0.1453066263	0.2920511086	0.2853456607	0.3085986543	0.389169817	0.1761211488	0.2993864911	0.2084880189	0.233627927	0.2949854499	0.1740024292	0.1887786487	0.3123250031	0.2757399563	0.221326198	0.2342601535	0.2308640305	0.1133442924	0.2525397529	0.2611446527	0.2471524307	0.3249945577	0.2664480284	0.2421909047	0.2722691025	0.26530644	0.1699881345	0.2703413015	0.3033708265	0.3654311131	0.2200669251	0.2578398296	0.1833893081	0.1803820189	0.1912449987	0.2674573781	0.2732503676	0.1048912989	0.1393729501	0.183891855	0.2320660785	0.1477524647	0.1839611164	0.2494301114	0.2468893167	0.3310197361	0.2331618579	0.2445214407	0.2728663827	0.2160986357	0.2366319716
"CD56bright_natural_killer_cell"	0.2842976656	0.3343357861	0.2391061191	0.2354127707	0.3121947149	0.2499134376	0.2916956717	0.2887018946	0.2668675851	0.2920899574	0.2516986107	0.3082118018	0.2714594106	0.2956654489	0.2812004404	0.2348572206	0.2456067007	0.3329019434	0.2623874371	0.3299906839	0.3238675673	0.2544654654	0.2432786885	0.2145345389	0.2256427877	0.272240657	0.3114540428	0.2548972915	0.2643947714	0.2837168628	0.2843069799	0.2778134092	0.2877408403	0.3039682604	0.3059739285	0.2524707982	0.2672667792	0.2424096652	0.275244166	0.2657023224	0.2905208752	0.2693006541	0.2464103925	0.2399158242	0.2162891947	0.2620444978	0.2104514985	0.2516406901	0.3159739345	0.2798606629	0.2950176248	0.2693678127	0.2703083891	0.2842134417	0.230022094	0.2406974316
"CD56dim_natural_killer_cell"	0.319992052	0.3406218868	0.3430905945	0.2582247577	0.275267109	0.2749305575	0.288323609	0.2800170929	0.3420404371	0.3225712303	0.2514873418	0.3140208528	0.2512824767	0.2700390737	0.3172750813	0.2760917501	0.2331489357	0.327538643	0.264319186	0.3124034023	0.3000622666	0.3318351191	0.2203919821	0.3170379323	0.3039237216	0.2284109158	0.328488733	0.3280121743	0.3122676073	0.2949667992	0.3188901035	0.3227345495	0.3181747299	0.3000994259	0.285104794	0.2938329029	0.3381715249	0.2321830072	0.3466019701	0.2890226496	0.3175351381	0.3441850264	0.2378502768	0.2671785319	0.2995175667	0.2774805685	0.2653713587	0.2425846596	0.3226761989	0.3174489867	0.2751500792	0.2776738622	0.2725590953	0.3534846273	0.2515283733	0.2543197467
"Central_memory_CD4_T_cell"	0.5477672281	0.5358592834	0.4803732782	0.3832889039	0.5366775794	0.38684348	0.492631616	0.4624834475	0.5104843578	0.5187779594	0.423641191	0.4417116845	0.4211003608	0.4613296845	0.4955100832	0.3625175576	0.4444004388	0.5141208517	0.5132135587	0.4959530232	0.482878953	0.4450677547	0.3197190799	0.4429788757	0.4559688039	0.4752819138	0.5297731108	0.4941691299	0.4590666218	0.5173929257	0.4835362299	0.4378431843	0.492169903	0.5211716911	0.5249170084	0.3992449777	0.4706023078	0.4100378965	0.4720871557	0.4395572518	0.4821665071	0.5302973678	0.3755570869	0.3954901454	0.4134183813	0.440269442	0.4098231611	0.4193411964	0.5245608394	0.4624466998	0.4884581067	0.4928876895	0.5046445763	0.4704102563	0.4145503671	0.4547469062
"Central_memory_CD8_T_cell"	0.337396049	0.3904503533	0.3874083078	0.2859926352	0.4308769442	0.3101629391	0.3663740762	0.3814489229	0.435269097	0.4664075665	0.323185995	0.3588076285	0.3041439723	0.3896234962	0.4370113971	0.2920367427	0.3459677906	0.4045361381	0.4488795325	0.3300139075	0.3306733204	0.3000586626	0.2715366803	0.3873670798	0.4162813094	0.373744442	0.4539609169	0.3949780273	0.4268445653	0.4270611626	0.3616950002	0.3774358135	0.4148205398	0.3696927977	0.4116875988	0.3301163591	0.3709509021	0.3368674132	0.3355413211	0.3185663623	0.2898778035	0.3563334659	0.2585346145	0.2752630147	0.353334959	0.3624329632	0.2910164876	0.3210024172	0.4087356004	0.4055379563	0.4315771449	0.4045691671	0.4031257236	0.3476245263	0.2943450255	0.3630195687
"Effector_memeory_CD4_T_cell"	0.2908704478	0.219229396	0.2152651118	0.1369026941	0.254348129	0.1499695883	0.3018344922	0.2402259589	0.2972884056	0.32230425	0.1819191763	0.3046068142	0.1797770734	0.2106839034	0.2963106842	0.1410088652	0.2326978872	0.2839129175	0.3150360025	0.2238569722	0.1993204499	0.110520168	0.1771012328	0.2056074483	0.2092934974	0.2927176394	0.3061312978	0.2490113343	0.1879616974	0.2449156128	0.1454403602	0.1694890233	0.2242879134	0.1762163661	0.2580337937	0.1360898563	0.1782756823	0.1188526683	0.1282601464	0.1792098408	0.1631095573	0.2653626779	0.1440843376	0.1183330414	0.132254045	0.1583463215	0.1422562045	0.2014487969	0.2175164501	0.2199535985	0.1910180944	0.2224226549	0.2265601658	0.2523334582	0.1311081454	0.2450568752
"Effector_memeory_CD8_T_cell"	0.4668712773	0.397283335	0.277983848	0.1848545547	0.3503607206	0.1407380398	0.3572335213	0.3470815567	0.3449470715	0.3774335293	0.2106313314	0.211441655	0.2709404735	0.2790506428	0.3526371059	0.1427774368	0.2847888061	0.408673659	0.3267494148	0.2507773403	0.2649905669	0.1878786519	0.0842357084	0.1885645579	0.2324066829	0.3289246356	0.3819798475	0.337684312	0.3059334447	0.4153954581	0.2818885462	0.2369351315	0.3236835768	0.3463906558	0.3824466109	0.1712762076	0.3152148343	0.1485110984	0.2031328577	0.1488900891	0.2148306445	0.404066876	0.0879026798	0.0817426163	0.2588296903	0.2893141143	0.1350321828	0.2060859294	0.2431806848	0.3017254655	0.3087634927	0.3872215598	0.4013878895	0.2804961049	0.1932801468	0.2182639836
