"A375-MDSC1"	"A375-MDSC2"	"A375-MDSC3"	"MDSC+4-IPP1"	"MDSC+4-IPP2"	"MDSC+4-IPP3"	"Cultured Monocytes1"	"Cultured Monocytes2"	"Cultured Monocytes3"
"CCDC107"	2.991584	2.94559	2.810644	3.210658	3.023552	3.29479	3.012082	3.039424	2.995884
"CCDC108"	7.69696	7.85444	7.52098	7.58879	7.91724	7.51682	8.04431	8.15667	8.21114
"CCDC109A"	8.30370333333333	8.38530666666667	8.38592666666667	8.00183	7.75431	8.17745333333333	7.93857333333333	7.92979333333333	7.90235666666667
"CCDC109B"	6.1005725	6.06079	6.0960825	6.361995	6.2657525	6.34751	5.72805	5.6925125	5.7311725
"CCDC11"	6.818915	6.801835	6.80522	8.124415	7.71482	7.9511	4.448995	4.674775	4.296195
"CCDC110"	6.60817666666667	6.75221333333333	6.56365333333333	7.09170666666667	7.01059333333333	7.03605333333333	6.61035333333333	6.58521333333333	6.60667666666667
"CCDC111"	8.13368	8.02446	8.019675	8.036525	7.86276	7.85509	8.53388	8.42272	8.37656
"CCDC112"	7.788534	7.92834	7.911414	7.483046	7.38447	7.230328	4.92492	4.98819	4.912452
"CCDC113"	3.26012	3.21739	3.148405	3.236045	3.26193	3.428345	3.334095	3.441385	3.445295
"CCDC114"	3.94029	4.02182	3.93374	4.0653	4.0653	3.98084	4.0653	4.16845	4.37527
"CCDC115"	9.55527	9.61843	9.69139	9.7386	9.61717	9.36421	10.1207	10.0399	10.079
"CCDC116"	3.97212	3.80427	3.87781	4.09779	3.5991	4.23178	4.19717	4.0653	4.24664
"CCDC117"	9.13183	9.23659	9.29889	8.77175	8.51241	8.4737	7.91366	7.90116	7.9795
"CCDC12"	5.50779333333333	5.38321333333333	5.56886333333333	6.07255333333333	5.74226	6.08343333333333	5.65072	5.59273333333333	5.78878333333333
"CCDC120"	4.88801	4.45568	5.08608	5.55462	4.27744	4.96744	3.60028	3.5695	3.74142
"CCDC121"	6.40880333333333	6.37986666666667	6.41592666666667	5.50448	5.44255333333333	5.24856666666667	7.52419	7.52387333333333	7.44685333333333
"CCDC122"	7.600405	7.50556	7.5766875	7.534275	7.63356	7.8459675	8.055175	7.956215	8.0183975
"CCDC123"	5.44437	5.666805	5.733395	4.111895	3.692795	3.619415	9.826425	9.816005	9.7839
"CCDC124"	4.54438	4.70555	4.77976	5.48304	4.76823	5.19035	4.6671	4.75894	4.89329
"CCDC126"	7.52137	7.49634666666667	7.60528666666667	7.60654333333333	7.48038	7.76632666666667	8.05481666666667	8.01504333333333	8.13037333333333
"CCDC127"	2.99839	2.953825	3.13463	3.800495	3.517575	3.529565	3.16152	3.650545	3.052205
"CCDC129"	5.89578	5.95679	5.988915	6.472515	6.868435	6.59085	8.520565	8.200975	8.29364
"CCDC13"	4.63947666666667	4.76043666666667	4.79354333333333	3.44770666666667	2.96406333333333	3.05791333333333	7.70382	7.44249666666667	7.19913333333333
"CCDC130"	6.39094	6.461185	6.38761	6.81007	7.11087	7.22594	6.37669	6.409745	6.441365
"CCDC132"	7.766835	7.811245	7.88452	6.811045	6.850275	6.77608	2.66759	3.057455	3.143
"CCDC134"	11.59065	11.59575	11.65945	8.08045	8.32153	8.235545	7.279545	7.15245	7.11107
"CCDC135"	6.31965	6.30896333333333	6.36713333333333	6.57569333333333	6.58211666666667	6.75506666666667	6.37807666666667	6.34693666666667	6.49044666666667
"CCDC136"	3.74142	4.03783	3.93181	4.48439	4.58591	4.56747	4.63355	4.49108	4.70845
"CCDC137"	2.72366	3.07836	3.0452	3.28383	3.08304	3.28306	3.12526	3.3461	3.12526
"CCDC138"	3.90884666666667	3.78538	3.7442	4.27308333333333	4.50301333333333	4.14140666666667	3.97865333333333	3.94454333333333	3.96421666666667
"CCDC14"	2.797585	2.78116	2.6857	2.816395	2.90263	2.89589	2.9545175	2.94036	2.8931225
"CCDC140"	7.54589	7.70903	7.79289	7.74952	8.02205	7.90408	7.56813	7.77537	7.61184
"CCDC141"	10.4328866666667	10.4001933333333	10.4069466666667	10.3698933333333	10.4089866666667	10.44889	12.5643166666667	12.5762	12.5155833333333
"CCDC142"	2.9119	3.04329666666667	2.87065	3.01694666666667	3.29807	3.08232666666667	2.79698	2.68158333333333	2.70209
"CCDC144A"	3.245406	3.289832	3.139642	3.43026	3.417972	3.364444	3.16941	3.208538	3.0629
"CCDC146"	7.972792	7.97952	7.988494	6.971176	6.947928	7.17994	6.80473	6.75878	6.847554
"CCDC147"	4.63401	4.49835	4.33677	4.76184	4.71444	5.35498	4.71475	4.90081	4.95432
"CCDC148"	9.017765	8.978805	9.035295	8.326495	7.933425	8.080345	7.940275	7.88939	7.97244
"CCDC149"	4.73848	4.3555	4.76857	5.69145	5.066445	4.848405	4.76648	4.810865	4.7666
"CCDC15"	5.162512	5.142326	5.170674	5.601186	5.375324	5.538724	5.056618	5.057036	4.974904
"CCDC150"	7.83467	8.09418	8.06942	8.61677	8.67558	8.82951	8.14097	8.20486	8.20395
"CCDC17"	6.932895	6.986735	6.961815	6.320015	6.039795	6.421355	6.21517	6.200395	6.17317
"CCDC18"	3.287425	3.137045	3.16615	3.800375	3.92617	3.577385	3.364725	3.311725	3.37527
"CCDC21"	4.2021975	4.07234	4.3135925	4.201655	4.371375	4.597685	3.8466575	3.9462825	3.88344
"CCDC22"	5.78857	5.92411	6.0031	6.080985	5.793365	6.35686	6.226035	6.34655	6.119805
"CCDC23"	3.51554	3.47523666666667	3.39702333333333	3.75965666666667	3.77902333333333	3.89962	3.90804666666667	3.89324333333333	3.87772
"CCDC24"	7.30471	7.44105	7.48337	6.22575	6.530965	6.75629	8.93519	8.95006	8.83169
"CCDC25"	5.01921	5.06381	5.03078	5.36587	5.05541	5.55654	5.78065	5.63767	5.5977
"CCDC27"	4.08286	4.0052	4.24002	3.98309	3.9353	4.62971	6.75491	6.40785	6.54583
"CCDC28A"	4.49418	4.30567	4.03906	4.21052	4.55721	4.49418	4.43966	4.49418	4.49418
"CCDC28B"	7.85917	7.89477	7.86339	8.11164	8.19538	8.017535	7.453465	7.416	7.43757
"CCDC3"	6.50691833333333	6.461415	6.42470333333333	6.204505	6.24502666666667	6.35808333333333	6.54243666666667	6.51826	6.54702666666667
"CCDC33"	4.22589	4.29586	4.319445	4.36475	4.51935	4.57248	3.61286	3.71465	3.895845
"CCDC34"	5.673095	5.68709	5.83056	5.275825	4.977385	4.24849	6.712715	6.8581	6.954635
"CCDC36"	2.699025	2.75957	2.726005	2.744355	2.704955	2.66509	2.72199	2.71154	2.726005
"CCDC37"	7.408085	7.45803	7.40293	6.974775	7.18833	6.983325	8.433335	8.47158	8.50835
"CCDC38"	2.63069	2.54044	2.57257	2.34704	2.63069	2.81817	2.49566	2.63069	2.88046
"CCDC40"	3.15239	3.38573	3.57644	5.69709	5.03435	4.65811	3.21382	3.39541	3.1032
"CCDC41"	8.85607333333333	8.85382666666667	8.9106	8.87265333333333	8.74039666666667	8.75226666666667	9.07715	9.00376333333333	9.06000333333333
"CCDC42"	4.09992	3.98929	3.95856	4.18144	4.95777	4.60728	3.95535	3.70677	3.61332
"CCDC43"	6.17632	6.19362666666667	6.17553333333333	6.57651	6.60283333333333	6.70177333333333	6.26541666666667	6.29986666666667	6.44034
"CCDC45"	7.77349	7.87252	7.87252	7.19636	7.64972	7.8102	7.94539	7.9851	8.09246
"CCDC46"	3.41062666666667	3.38577666666667	3.29527	3.51964	3.63097666666667	3.87836333333333	3.52128666666667	3.62616	3.64668
"CCDC47"	8.07114142857143	8.25616	8.20857	7.84036571428571	7.66301571428571	7.92301428571429	7.67008142857143	7.57408	7.68955428571429
"CCDC48"	6.57121	6.806995	6.89496	6.677025	6.404315	6.9909	7.701875	7.613305	7.640865
"CCDC50"	8.66988	8.74965	8.67599	8.99481	9.48169	8.85149	8.2392	8.13156	8.22465
"CCDC51"	5.849915	5.83205	5.605935	5.634845	5.63952	5.76815	5.545925	5.28179	5.418205
"CCDC53"	7.7463675	7.73206	7.8287725	7.061645	7.15777	7.0877425	6.5309675	6.2326675	6.4565525
"CCDC54"	4.26554	4.056085	4.455615	4.31956	4.199565	4.20803	4.047315	4.20803	4.12294
"CCDC55"	4.800352	4.760904	4.833584	4.586846	4.31514	4.252958	5.09429	5.257826	5.317588
"CCDC56"	8.613385	8.6724475	8.6357975	7.886895	7.810425	7.75873	8.107975	8.202085	8.097695
"CCDC57"	3.25968	3.103895	2.952155	3.470155	3.378035	3.230475	3.34427	3.39602	3.413595
"CCDC58"	5.79545	5.58067	5.58067	6.17374	5.82703	5.79412	3.57595	4.2425	3.80427
"CCDC59"	10.3697	10.3694	10.3589	9.48092	9.50393	9.4053	9.58106	9.55022	9.52889
"CCDC6"	5.73835666666667	5.74296	5.63777333333333	6.07926666666667	5.62711	5.84238666666667	4.24903	4.24704333333333	4.36759666666667
"CCDC60"	7.9642	8.08362	8.08362	7.78026	7.5489	7.61602	8.47355	8.51301	8.57048
"CCDC61"	7.70564666666667	7.68019333333333	7.64547	6.42627666666667	6.67819666666667	6.74389666666667	7.13503333333333	7.06862333333333	7.07265
"CCDC62"	4.579445	4.874395	4.760005	5.723005	5.80735	6.312865	5.712585	5.61591	5.539435
"CCDC63"	5.87246	5.927015	5.83751	5.043545	4.77408	5.1865	4.49493	4.50362	4.334245
"CCDC64"	6.48908	6.4295075	6.4720075	4.5123575	5.0309675	4.9024925	5.6410625	5.633945	5.748565
"CCDC65"	2.9842	3.19744	3.22386	3.78908	3.22386	2.9176	3.38606	3.28689	3.22386
"CCDC66"	8.53691	8.521545	8.578185	8.485905	8.47707	8.14202	8.28203	8.224685	8.144655
"CCDC67"	4.1578825	4.1166425	4.1915425	3.7753475	3.97363	4.099295	3.035495	3.1101875	3.16651
"CCDC68"	2.74918	2.90516	2.69205	3.00532	3.03999	3.13907	2.90033	2.90645	2.90033
"CCDC69"	4.48554	4.5064025	4.6884275	4.3383625	4.4952275	4.367605	4.17737	4.22012	4.0941525
"CCDC7"	2.99518	3.050715	2.9175	2.94404	3.540595	3.473145	2.871635	2.95963	2.99518
"CCDC70"	8.66375	8.66375	8.67813	8.29316	8.32119	8.13766	9.03394	8.99534	8.94593
"CCDC71"	7.154875	7.239725	7.02466	6.74218	6.66964	6.79247	5.85658	5.94713	6.005325
"CCDC72"	5.90479	6.08064	5.89987	6.76386	6.82897	6.882225	6.501325	6.446465	6.377655
"CCDC74B"	6.48543	6.45526	6.47082	6.73233	6.72404	6.66538	6.63181	6.62435	6.59635
"CCDC75"	4.98294	5.2987925	5.317735	4.6054475	4.6824775	4.5994575	3.945405	3.8971925	4.04958
"CCDC76"	6.788666	6.786832	6.834858	6.738554	6.497056	6.480616	6.466184	6.419152	6.367868
"CCDC77"	3.51414666666667	3.44601333333333	3.46281	3.58705333333333	3.69223333333333	3.74933333333333	3.92649666666667	4.08021	4.04057333333333
"CCDC78"	5.38856	5.6282	5.69436	4.84678	4.67358	4.63424	5.38856	5.38856	5.56289
"CCDC8"	6.87648333333333	6.9322	6.98819	6.74022333333333	6.90775	6.68450666666667	8.04174	7.962	7.87996333333333
"CCDC80"	6.63050333333333	6.74314333333333	6.65449	6.61997666666667	6.71046	6.24001333333333	7.40590666666667	7.28987	7.30229333333333
"CCDC81"	6.24977	6.29409	6.33231666666667	4.30709666666667	4.02073	3.66769666666667	9.51352666666667	9.31333333333333	9.38154
"CCDC82"	11.0821	11.1738333333333	11.0631333333333	10.0865166666667	10.1231466666667	9.82722333333333	9.81439333333333	9.86143333333333	9.75626333333333
"CCDC83"	7.32999	7.37454	7.37454	7.34465	7.59304	7.44833	7.55222	7.37454	7.46986
"CCDC84"	5.21441666666667	5.08286666666667	5.05813333333333	4.80867666666667	5.38106333333333	5.06810333333333	5.07871	5.08504	5.08768
"CCDC85A"	6.03294	6.12534	6.08380333333333	6.05852666666667	5.88668666666667	5.81787333333333	4.15305666666667	4.14717666666667	4.21409
"CCDC85B"	5.92053	5.85642666666667	5.81157666666667	5.85449333333333	5.80204666666667	6.02477333333333	6.78775	6.91757666666667	6.73019
"CCDC86"	7.75029	7.7131525	7.6561475	7.1206025	7.1039	7.0849375	8.43722	8.322375	8.302735
"CCDC87"	2.57116	2.30689	2.44701	2.79359	2.88796	2.82617	2.57116	2.57116	2.61585
"CCDC88A"	7.02257666666667	7.07070333333333	6.98134	7.04867666666667	7.00427666666667	7.11685666666667	7.14320333333333	7.12512666666667	7.10463666666667
"CCDC88B"	9.52231	9.35805	9.4837	9.22437	9.32433	9.2295	7.56435	7.45756	7.44983
"CCDC89"	5.47608	5.829095	5.62096	6.077845	6.03156	6.0831	6.74778	6.7074	6.63806
"CCDC9"	3.88746333333333	3.97237333333333	3.99836333333333	4.21279	4.29389333333333	4.27568666666667	3.97268666666667	4.12702333333333	4.03845
"CCDC90A"	4.291395	4.112215	4.15509	4.394325	4.071145	4.251875	4.28251	4.52954	4.220585
"CCDC90B"	2.3439	2.37709	2.30395	3.26162	2.62194	2.60177	2.49505	2.36065	2.32265
"CCDC91"	8.05672	8.11301	8.2635	5.58067	5.58067	5.39444	3.35686	3.40236	3.58702
"CCDC92"	7.45258	7.33081	7.25964	8.28794	7.95328	8.28411	7.59772	7.72678	7.92987
"CCDC96"	6.124075	6.13491	6.118995	6.31527	6.36767	6.45639	6.544495	6.441625	6.278725
"CCDC97"	3.82467	3.86501	3.70483	4.08379	3.4278	4.11152	3.73204	3.74678	3.57863
"CCDC99"	3.07005	2.82339	3.28893	3.36104	3.83951	3.10054	3.08413	3.17838	3.17838
"CCHCR1"	6.753362	6.80437	6.800376	7.117338	7.339328	7.236698	6.980336	7.01633	7.026324
"CCIN"	8.28531	8.33016	8.28679	7.92585	7.84813	8.02235	8.05593	8.04939	8.16855
"CCK"	3.78837	3.54022	3.71445	4.0855	4.0407	3.71445	3.46754	3.6178	3.85131
"CCKAR"	3.0335075	3.00321	3.0219725	3.286125	3.5142575	3.3505425	3.013615	3.0617875	3.071855
"CCKBR"	6.806925	6.715565	6.71197	7.07831	7.273735	7.113015	5.743365	5.90651	5.876005
"CCL1"	3.03199	2.83397	3.00884	3.33632	3.00884	3.19152	2.93058	3.00884	3.00884
"CCL11"	3.87673	4.01953	3.82221	3.25399	3.00884	3.71445	3.07291	2.58401	2.64233
"CCL13"	6.002325	5.91258	6.208825	5.551595	6.31442	5.53414	6.4434	6.548665	6.419245
"CCL16"	7.30501666666667	7.40521333333333	7.36833333333333	7.52183333333333	7.35518666666667	7.03932	7.55233666666667	7.47075	7.42661666666667
"CCL17"	3.28154	3.31808	3.3995	3.59756	3.28154	3.33069	3.28154	3.28154	3.06571
"CCL18"	2.689735	2.675155	2.573655	2.769305	2.88474	3.31715	2.777085	2.84305	2.879065
"CCL19"	3.14252	3.28406333333333	3.29940666666667	3.70141666666667	3.63944	3.58968	3.25807666666667	3.257	3.32899
"CCL2"	6.452405	6.65684	6.556765	6.7049	6.822265	6.237565	6.48345	6.579215	6.45711
"CCL20"	5.43291	5.20956	5.28654	6.09837	6.08165	5.98191	5.46628	5.52647	5.62298
"CCL21"	5.56358	5.55783	5.48206	7.04659	6.82358	7.05847	5.23521	5.03078	4.71541
"CCL22"	6.0229525	5.9983525	6.014695	5.3257725	5.494585	5.1219175	6.495105	6.2557025	6.2464775
"CCL23"	4.774715	4.749815	4.69171	4.49126	4.55318	4.365935	5.683315	5.848365	5.35025
"CCL24"	6.62694	6.4753	6.45036	5.57766	5.09776	3.63908	5.51181	5.45548	5.38656
"CCL25"	7.47473	7.37573	7.36583	7.67957	7.2469	7.39559	7.58962	7.53699	7.57966
"CCL26"	4.7617325	4.6312825	4.6378175	5.2693475	5.3508675	5.2874275	4.910365	4.94925	5.0728925
"CCL27"	6.141205	6.27843	6.40797	6.161285	6.19216	6.09526	6.01237	5.926075	6.05403
"CCL28"	7.02966	7.04443	7.05453	7.43695	8.06859	8.09028	7.26209	7.31964	7.38196
"CCL5"	7.703205	7.81406	7.830945	7.924255	7.973545	7.96927	9.04399	9.02676	9.04491
"CCL7"	6.669655	6.658155	6.719875	8.13345	8.170725	7.98742	6.943125	6.7868	6.71171
"CCL8"	5.8651	5.88545	5.8651	6.01679	6.15889	6.2363	5.64036	5.62322	5.73404
"CCM2"	5.070885	5.0456375	4.9975375	5.39651	5.73695	5.899845	4.958925	4.8377375	4.9144625
"CCNA1"	4.71759	4.58347	4.67487	4.86491	5.1228	4.86879	4.76337	5.09219	4.70765
"CCNA2"	3.22788666666667	3.19789	3.12090333333333	3.14146333333333	3.39855666666667	3.31913333333333	3.25215	3.28780333333333	3.24075333333333
"CCNB1"	9.67891285714286	9.66181142857143	9.6536	9.40641142857143	9.35044285714286	9.40780571428571	8.43616	8.39765285714286	8.43509857142857
"CCNB1IP1"	2.45096	2.45096	2.20894	2.64497	2.69945	3.11707	2.45096	2.27436	2.45096
"CCNB2"	5.12171	5.00111	4.93805	5.04555	5.12171	5.74123	5.12171	5.52011	5.12171
"CCNB3"	3.81537	3.8829575	3.769945	4.1824775	4.07461	4.013835	3.8688175	4.044055	4.0859225
"CCNC"	5.056695	5.0336	4.952225	5.434445	5.39632	5.327075	5.103925	5.20021	5.26135
"CCND1"	8.10798	8.15566	8.21836	8.0098	8.09953	8.02943	7.67451	7.39415	7.42299
"CCND2"	5.514775	5.497585	5.5417	4.653615	4.282835	4.905515	8.89573	8.780095	8.73416
"CCND3"	8.45531	8.57642	8.55608	9.13809	8.69551	8.56898	9.53399	9.43576	9.33382
"CCNDBP1"	9.15126	9.21050666666667	9.28898	8.83060333333333	8.90389	8.57993666666667	10.4472666666667	10.656	10.3959666666667
"CCNE1"	5.11083	4.76261	4.99548	5.59535	5.03571	5.22126	5.08513	5.07381	5.24314
"CCNE2"	5.953755	5.743575	5.833175	5.967005	5.952465	5.49133	5.362085	5.29382	5.37406
"CCNF"	5.760985	5.829505	5.922675	5.905685	5.824505	5.90006	5.3479	5.3853525	5.3565025
"CCNG1"	5.95024	5.72732	5.70899	3.97163	5.63964	4.51446	4.41051	4.33107	4.23006
"CCNG2"	6.53068	6.58147666666667	6.61553666666667	6.19286666666667	6.53329333333333	6.50058666666667	5.53509333333333	5.60604666666667	5.71727
"CCNH"	3.86609	3.8502925	3.72365	3.5989475	4.04324	3.544605	3.327525	3.1599725	3.07962
"CCNI"	5.1530675	5.1832975	5.1272475	5.3027325	5.67457	5.86892	4.705535	4.6959325	4.6924625
"CCNJ"	3.747705	3.704605	3.51181	4.574935	4.72766	4.387495	3.73454	3.88404	3.960055
"CCNK"	7.558605	7.620465	7.67183	6.474355	7.06377	6.366095	6.847955	6.76665	6.963295
"CCNL1"	4.11186	3.84614	3.75416	4.63331	4.63736	3.83762	4.28306	4.80136	4.36218
"CCNL2"	4.74317	4.64671	4.91079333333333	4.89123666666667	4.68136666666667	4.78035	5.05002333333333	5.12705333333333	5.09187333333333
"CCNO"	3.61182	3.47679	3.26038	3.57644	3.54966	4.22785	4.08479	4.3827	4.62289
"CCNT1"	2.96431	2.96479	3.11026	3.49868	3.2992	3.0928	4.19142	3.96268	3.70447
"CCNT2"	3.02536	3.29685	2.79359	3.1269	3.68593	3.29685	2.97419	3.1175	3.25994
"CCNY"	8.511255	8.439495	8.51432	8.133965	7.87542	7.84438	8.6357	8.65639	8.5978
"CCNYL1"	4.216565	4.2331	4.197735	5.281115	4.84977	4.95805	4.33457	4.41106	4.370685
"CCPG1"	7.05575	7.145395	7.144505	7.471155	7.670165	7.423175	7.29185	7.20101	7.3035
"CCR1"	2.74102	2.44298	2.41766	2.60748	2.83803	2.57294	2.53308	2.53308	2.53308
"CCR10"	5.47705	5.53891333333333	5.48145	4.86235666666667	4.44318	4.37919666666667	3.53852666666667	3.50206	3.45064
"CCR2"	4.71866	5.12078	5.1171	4.4029	4.52765	4.76472	10.1314	9.58815	9.99848
"CCR3"	11.3565	11.3847	11.3961	11.5753	11.497	11.4579	11.9445	11.9152	11.8954
"CCR4"	6.69235	6.76077	6.76077	6.76077	6.10871	6.8233	6.83228	6.80473	6.87061
"CCR5"	5.21187	5.00499	5.0728	5.13954	5.76692	5.98399	5.06692	5.14649	4.96597
"CCR6"	6.94657	7.01381	6.9648	7.16936	6.91161	6.91028	6.86155	6.86067	6.86067
"CCR7"	3.94884666666667	3.8855	3.82995666666667	4.17340666666667	3.98205	4.11853333333333	3.41547666666667	3.29604	3.24022
"CCR8"	2.59194	2.590675	2.623355	2.83456	2.958285	3.05245	2.7973	2.67102	2.58038
"CCR9"	3.1814	3.25716	3.21382	3.767235	3.76828	3.869485	5.50885	5.230695	5.34333
"CCRL1"	2.89633	2.730865	2.809605	3.067715	3.11509	3.450065	3.00918	2.82186	2.945525
"CCRN4L"	7.57851	7.55926	7.63124	8.2732	7.90516	7.69956	8.51584	8.57182	8.5476
"CCS"	5.83659	5.81795	5.73066	6.16153	6.18155	6.583305	5.98022	6.09432	5.9674
"CCT2"	3.69724	3.57505	3.69724	3.70336	3.68769	3.50868	3.69724	3.82961	3.69724
"CCT3"	9.74876	9.70477	9.76551	8.96669	8.85746	9.16349	9.69725	9.63893	9.76185
"CCT4"	4.11253333333333	4.07474333333333	4.19298	3.47203333333333	3.54760333333333	3.86405333333333	4.72330666666667	4.68893333333333	4.50642666666667
"CCT5"	3.791075	3.833075	3.85305875	3.12620625	3.25841625	3.29768625	3.3622175	3.42115375	3.2914975
"CCT6A"	4.551935	4.339375	4.50454	4.33724	4.276785	4.555245	4.369795	4.289155	4.4495
"CCT6B"	5.985465	5.9581325	6.01734	6.127325	6.1375175	6.3070175	6.3416175	6.399125	6.4743525
"CCT7"	3.958745	3.951845	3.833195	4.056235	4.51802	4.422095	4.154815	4.054915	4.08848
"CCT8"	8.16614	8.15566	8.16746	4.02295	3.99605	4.07848	3.53902	3.21107	3.46003
"CCT8L2"	3.38387666666667	3.41185666666667	3.29341666666667	3.43421333333333	3.73675666666667	3.77809333333333	3.52228666666667	3.50037333333333	3.71718666666667
"CD109"	5.76397	5.77645	5.79317	4.0019	4.88438	4.05105	6.37981	6.40785	6.4097
"CD14"	6.501194	6.52837	6.532532	6.697518	6.531678	6.754622	6.063786	5.902766	6.06392
"CD151"	3.40192625	3.3107425	3.41165	3.61213375	3.37486125	3.506505	3.20964375	3.27202375	3.26256125
"CD160"	3.49098	3.38631	3.45124	4.02628	3.77749	3.91884	3.30866	3.45124	3.1818
"CD163"	4.370795	4.243375	4.1833	4.89432	4.723905	5.250015	4.56667	4.833735	4.42133
"CD164"	4.7197275	4.8017	4.808085	4.663635	4.60466	4.7735775	3.38331	3.4298425	3.421895
"CD177"	5.92446	5.71077	5.88494	7.19425	6.41162	7.12675	5.56147	4.87642	5.4085
"CD180"	3.60826	3.37628	3.55014	3.98503	3.5026	3.60826	3.60826	3.60826	3.91249
"CD19"	9.698295	9.562885	9.630675	9.602	9.524705	9.57594	9.885375	9.867635	9.77686
"CD1A"	9.62846	9.697655	9.66514	8.637915	8.69547	8.86058	10.7083	10.6685	10.72635
"CD1B"	4.9133	4.99145333333333	5.10447666666667	5.29600333333333	5.05752666666667	5.18365333333333	4.31185666666667	4.30630666666667	4.22848
"CD1C"	6.293975	6.342525	6.54513	5.69708	5.610125	5.97139	5.36043	5.52343	5.51651
"CD1D"	6.78717333333333	6.92651	6.98631	6.94237	6.64784	6.64627	6.77835	6.75154	6.83784
"CD1E"	2.97393	3.13491	2.94643	3.46102	3.02158	3.93587	3.06508	3.33901	3.27721
"CD2"	10.3	10.2894	10.1613	9.79272	10.008995	9.94186	9.75395	9.853835	9.792155
"CD200"	3.66513	3.68433	3.51214	3.63478	3.68433	3.78882	3.73348	3.73363	3.73363
"CD200R1"	4.88689	4.998945	4.74459	5.173315	5.274505	5.45769	4.663095	4.778605	4.7744
"CD207"	5.02999333333333	4.83050666666667	4.88254	5.51104666666667	5.24133666666667	5.05018666666667	4.80406333333333	4.81955333333333	4.76538666666667
"CD209"	6.51133	6.56885	6.37624	6.81068	6.30329	6.50929	6.06447	5.89979	6.1305
"CD22"	3.27431	3.13491	2.96479	3.59578	4.41264	3.96657	3.63424	3.46684	3.46684
"CD226"	6.03346666666667	6.015	5.95045	6.47768333333333	6.40899	7.14524666666667	5.82947	5.80466666666667	5.81544666666667
"CD24"	7.76465333333333	7.83291333333333	7.86798	7.83283333333333	7.59745333333333	7.63862333333333	9.65063	9.47956666666667	9.57334666666667
"CD244"	6.582314	6.512792	6.53526	4.805388	4.923346	4.7371	10.045594	10.090754	10.187922
"CD247"	2.51719666666667	2.56981	2.46367666666667	3.01861333333333	3.34842666666667	3.09353333333333	2.56941333333333	2.60502	2.68156
"CD248"	4.58672	4.5699	4.43264	5.48464	5.35174	5.51621	4.72335	4.86119	4.92366
"CD27"	5.94695	6.29614	6.23127	5.3497	5.51502	5.404605	9.15286	9.16214	9.13949
"CD274"	4.19064142857143	4.25144142857143	4.19393428571429	4.87633714285714	4.69407285714286	4.77724285714286	4.49542714285714	4.50747	4.5316
"CD276"	3.11513	2.90191	2.74666	2.94258	3.00419	3.70387	3.05567	3.00419	2.92213
"CD28"	7.158462	7.22825	7.209716	7.538888	7.47705	7.37052	7.51688	7.392668	7.454354
"CD2AP"	9.486445	9.5088775	9.4398325	9.057045	9.11116	9.0842525	8.5741425	8.49972	8.4834275
"CD2BP2"	5.874205	5.7568	5.898045	5.77581	6.289985	6.0098	5.409775	5.507035	5.453095
"CD300A"	3.23843333333333	3.20176666666667	3.06308	3.66207	3.73735	3.51980333333333	3.30042666666667	3.34127666666667	3.40643
"CD300C"	6.81057	6.79529	6.76589	4.74459	4.66025	4.71623	3.52724	3.57727	4.39434
"CD300LB"	4.52932	4.44003	4.33214	4.53792	4.58591	4.72333	5.61275	5.42919	5.61537
"CD300LF"	4.44657	4.49848	4.346965	6.704025	6.93029	6.893055	3.093015	3.424315	3.712815
"CD300LG"	10.2504	10.2552	10.3281	9.54212	9.41483	9.50799	9.89876	9.85655	9.90637
"CD302"	2.75455	2.62374	2.71567	2.91549	2.884125	2.79124	2.68379	2.49982	2.666155
"CD320"	2.56421	2.70214	2.57509	2.29839	2.60146	2.72046	2.65747	2.87416	2.82352
"CD33"	6.96132	7.0567	6.92837	7.07943	7.21029	7.34316	7.23365	7.22944	7.13117
"CD34"	3.26442	3.19121	3.31016	3.48385	4.14507	3.68904	3.29917	3.80139	3.43606
"CD36"	2.48227	2.59729	2.45082	3.33402	3.25351	3.36077	2.6026	2.58462	2.65231
"CD37"	3.22386	3.45481	3.12221	3.63011	3.82818	3.45759	3.63011	3.74736	3.99554
"CD38"	9.3405175	9.3637325	9.3588775	8.48292	8.5128	8.5367425	9.4751475	9.661255	9.4945275
"CD3D"	5.28873333333333	5.19906333333333	5.40280333333333	5.49716333333333	5.53425333333333	5.50592666666667	7.51875333333333	7.44395333333333	7.33815666666667
"CD3E"	6.509	6.558515	6.452825	6.5264775	6.5203775	6.503515	7.7006525	7.875395	7.77446
"CD3EAP"	3.817255	3.532735	3.73239	3.869245	3.401905	3.4561	3.520995	3.592085	3.583715
"CD3G"	7.44909	7.514155	7.40489	7.4412	7.707095	7.749725	7.80869	7.805605	7.71582
"CD4"	5.050075	5.0922175	5.1714625	5.3605225	5.423385	5.553565	4.8995875	4.8569175	5.1067075
"CD40"	5.711645	5.713425	5.55376	4.917895	4.378045	4.682815	5.07647	5.126765	4.82351
"CD40LG"	3.56378	3.59275	3.63023	3.8243	4.322715	4.20575	3.82814	4.00404	3.89859
"CD44"	3.29339	3.60291	3.52688	3.41958	3.60517	3.51343	3.45402	3.57837	3.51343
"CD46"	7.10010333333333	7.06343	7.01481	7.56385666666667	7.35238666666667	7.17383	7.53197666666667	7.48955333333333	7.53436
"CD47"	3.12221	3.07561	2.79865	2.91553	3.23197	3.92909	3.19231	3.43847	3.12221
