"A375-MDSC1"	"A375-MDSC2"	"A375-MDSC3"	"MDSC+4-IPP1"	"MDSC+4-IPP2"	"MDSC+4-IPP3"	"Cultured Monocytes1"	"Cultured Monocytes2"	"Cultured Monocytes3"
"ABCC8"	5.441405	5.4682375	5.513765	5.3705475	5.5015375	5.190305	6.580885	6.444115	6.4411475
"ABCC9"	5.928905	6.00154666666667	5.89739	6.43517333333333	6.263455	6.33378833333333	6.71792	6.72111833333333	6.73447166666667
"ABCD1"	9.331945	9.39287333333333	9.36375666666667	8.36503666666667	8.192265	8.271375	9.50363833333333	9.53691	9.48088666666667
"ABCD2"	9.205305	9.06349	9.1037775	7.352825	7.3557375	7.40226	3.3284275	3.46211	2.9870775
"ABCD3"	4.4486	4.4497	4.28922	5.08465	4.98134	4.68397	5.29243	5.2398	5.29824
"ABCD4"	2.80918	2.82674	2.55147	3.29959	3.65501	3.74669	3.06094	3.06094	3.24667
"ABCE1"	7.5080175	7.50656	7.4902525	7.0179	7.1201375	6.80946	8.601025	8.4529975	8.3886275
"ABCF1"	2.97148	3.01165	2.71346	2.57342	3.31256	2.93458	2.92761	3.06094	3.1576
"ABCF2"	7.506238	7.543508	7.56684	7.163846	7.158482	7.09756	7.746968	7.750188	7.67442
"ABCF3"	6.47437666666667	6.43033333333333	6.34712	7.17586	7.07012	7.00075333333333	6.33694666666667	6.51574666666667	6.49702
"ABCG1"	3.34016142857143	3.31982	3.23610714285714	3.60362428571429	3.59056	3.62130285714286	4.16092857142857	4.28882142857143	4.31450285714286
"ABCG2"	5.96545666666667	6.03641666666667	6.13263	5.02332666666667	5.3274	5.05554	5.0812	4.88402333333333	4.84856
"ABCG4"	4.585164	4.551222	4.618874	4.590748	4.808706	4.956302	4.700284	4.840344	4.774258
"ABCG5"	4.714185	4.86186	4.7673	5.24836	5.64711	5.08672	5.028	5.159805	5.0606
"ABCG8"	4.88468	4.93805	5.11643	5.48036	5.76692	5.58086	4.64701	5.03078	5.03078
"ABHD1"	6.75346714285714	6.68038	6.75392857142857	6.36313571428571	6.28962142857143	6.11433571428571	7.72934571428571	7.67767857142857	7.60436285714286
"ABHD10"	4.23496	3.95368	4.1308	4.23496	4.0653	4.23496	4.28661	4.44194	4.64068
"ABHD11"	5.874002	5.966918	5.92933	5.948572	6.044072	6.079986	7.768846	7.705144	7.637978
"ABHD12"	7.7876425	7.7621225	7.768415	7.8492625	7.9249525	8.06318	7.006985	6.92913	6.91986
"ABHD12B"	7.041065	6.89544	6.98483	6.93436	7.056375	6.85766	8.590415	8.624945	8.55499
"ABHD13"	5.56443	5.39238	5.22555	4.9404	4.92405	4.68495	4.8103	4.76605	4.7343
"ABHD14A"	4.06377	4.088555	3.9737	4.754175	4.86379	5.207275	4.38329	4.321475	4.79166
"ABHD14B"	7.70498444444444	7.68260666666667	7.74101	7.75548666666667	7.6795	7.80466444444444	9.07370111111111	9.05821555555556	8.99174444444444
"ABHD2"	5.8747	5.79464	5.86776	5.58067	5.59459	5.05026	5.81703	5.75442	5.39619
"ABHD3"	3.18187666666667	3.339745	3.172505	3.73678833333333	3.99174333333333	3.69044666666667	3.361125	3.48183	3.50356166666667
