ID	Gene Symbol	GENE_ID
1561352_PM_at		
1561353_PM_at		
1561354_PM_at		
1561355_PM_at	LOC692247	692247
1561358_PM_at	TXLNA	200081
1561360_PM_at		
1561361_PM_at	ZNF660	285349
1561362_PM_at		
1561363_PM_a_at		
1561364_PM_at		
1561365_PM_at	NRP1	8829
1561367_PM_a_at		
1561368_PM_at		
1561369_PM_at		
1561370_PM_at		
1561371_PM_at	FLJ39080	441355
1561373_PM_at	LOC285796	285796
1561375_PM_at		
1561378_PM_at	C12orf42	374470
1561383_PM_at	LOC284661	284661
1561384_PM_a_at	LOC284661	284661
1561386_PM_at		
1561387_PM_a_at	FAM55A	120400
1561389_PM_at		
1561390_PM_at	FAM41AY1 /// FAM41AY2	100302526 /// 340618
1561391_PM_at	LOC100128126	100128126
1561392_PM_at		
1561393_PM_at		
1561394_PM_s_at	KIAA1755	85449
1561396_PM_at	EPHA6	285220
1561398_PM_at	LOC644620	644620
1561400_PM_at		
1561401_PM_at	LOC285627	285627
1561402_PM_at	LOC339894	339894
1561403_PM_at	SOHLH1	402381
1561405_PM_s_at	CATSPER2	117155
1561407_PM_at	ARAP2	116984
1561408_PM_at		
1561409_PM_at		
1561411_PM_at		
1561413_PM_at		
1561414_PM_at	LOC401497	401497
1561415_PM_at		
1561417_PM_x_at		
1561418_PM_at		
1561419_PM_at		
1561420_PM_a_at		
1561421_PM_a_at		
1561422_PM_at		
1561423_PM_at	LOC642924	642924
1561424_PM_at		
1561425_PM_a_at	ZNF568	374900
1561427_PM_at		
1561429_PM_a_at	C3orf15	89876
1561430_PM_s_at	C3orf15	89876
1561431_PM_at		
1561432_PM_at		
1561433_PM_at	LOC285103	285103
1561434_PM_at		
1561436_PM_at		
1561437_PM_at	LOC100287035	100287035
1561439_PM_at		
1561440_PM_at		
1561442_PM_at	LOC283585	283585
1561443_PM_at		
1561445_PM_at		
1561446_PM_at		
1561448_PM_at		
1561449_PM_at		
1561450_PM_at		
1561451_PM_a_at		
1561452_PM_at		
1561453_PM_at		
1561454_PM_at		
1561455_PM_at	LOC284294	284294
1561459_PM_at		
1561460_PM_at		
1561461_PM_at		
1561462_PM_at		
1561463_PM_at		
1561467_PM_at		
1561468_PM_at		
1561469_PM_at		
1561471_PM_at		
1561472_PM_at	LOC728805	728805
1561473_PM_at		
1561474_PM_at		
1561476_PM_at		
1561477_PM_at	CCDC144A	9720
1561478_PM_at		
1561479_PM_at		
1561480_PM_a_at		
1561481_PM_at		
1561482_PM_at	LOC100133308	100133308
1561484_PM_at		
1561485_PM_at	IQCA1	79781
1561486_PM_at		
1561487_PM_at		
1561488_PM_at		
1561489_PM_at		
1561490_PM_at	AAA1	404744
1561491_PM_at	LOC283214	283214
1561492_PM_at	LOC647107	647107
1561493_PM_at		
1561497_PM_at		
1561499_PM_at		
1561500_PM_at	CTU2	348180
1561501_PM_s_at	CTU2	348180
1561502_PM_x_at	CTU2	348180
1561503_PM_at	MYLK4	340156
1561504_PM_s_at	MYLK4	340156
1561506_PM_at		
1561507_PM_at	FFAR1	2864
1561508_PM_at		
1561509_PM_at		
1561511_PM_at		
1561512_PM_at		
1561513_PM_at		
1561514_PM_at	LOC400655	400655
1561516_PM_at		
1561517_PM_at	SSPN	8082
1561518_PM_at	LOC283914	283914
1561519_PM_at		
1561521_PM_at	S100B	6285
1561523_PM_at	CCDC65	85478
1561525_PM_at		
1561526_PM_at		
1561527_PM_at		
1561528_PM_at		
1561529_PM_at		
1561530_PM_at		
1561531_PM_at		
1561532_PM_at		
1561534_PM_at		
1561535_PM_at		
1561536_PM_at	LOC283435	283435
1561537_PM_at	LOC388906	388906
1561538_PM_at		
1561539_PM_at		
1561540_PM_at	LOC144920	144920
1561542_PM_at		
1561543_PM_at		
1561544_PM_at		
1561545_PM_at		
1561546_PM_at		
1561550_PM_at		
1561553_PM_at		
1561554_PM_at		
1561555_PM_at		
1561556_PM_at		
1561557_PM_at	LIPA	3988
1561558_PM_at		
1561559_PM_at		
1561560_PM_at		
1561561_PM_x_at		
1561562_PM_at		
1561564_PM_at		
1561565_PM_at		
1561566_PM_at	LOC285501	285501
1561567_PM_at		
1561571_PM_at	LOC730139	730139
1561572_PM_at		
1561573_PM_at		
1561574_PM_at		
1561575_PM_at		
1561576_PM_a_at		
1561577_PM_at		
1561578_PM_s_at	MCART6	401612
1561579_PM_at	LOC728445	728445
1561581_PM_at		
1561584_PM_at		
1561585_PM_at	RCBTB2	1102
1561587_PM_at	LOC284260	284260
1561589_PM_a_at	NBEAL1	65065
1561590_PM_a_at	LOC415056	415056
1561591_PM_at		
1561592_PM_at		
1561593_PM_at		
1561595_PM_x_at		
1561596_PM_at		
1561597_PM_x_at		
1561598_PM_at		
1561599_PM_at		
1561600_PM_at		
1561602_PM_at	LOC100129476	100129476
1561604_PM_at		
1561605_PM_at		
1561606_PM_at		
1561607_PM_at		
1561608_PM_at		
1561609_PM_at		
1561610_PM_at		
1561611_PM_at		
1561612_PM_at		
1561613_PM_at		
1561614_PM_at	SLC8A1	6546
1561615_PM_s_at	SLC8A1	6546
1561616_PM_a_at	DNAH6	1768
1561617_PM_at	DNAH6	1768
1561618_PM_at		
1561619_PM_at		
1561622_PM_at		
1561624_PM_at		
1561625_PM_at		
1561626_PM_at		
1561627_PM_at		
1561631_PM_at		
1561633_PM_at	HMGA2	8091
1561635_PM_at		
1561638_PM_at		
1561639_PM_at		
1561640_PM_at		
1561642_PM_at		
1561644_PM_x_at		
1561650_PM_s_at	LOC285692	285692
1561651_PM_s_at	TAL1	6886
1561652_PM_at	BECN1	8678
1561653_PM_at		
1561654_PM_at		
1561657_PM_at		
1561658_PM_at		
1561660_PM_at	MCART6	401612
1561662_PM_at		
1561663_PM_at		
1561665_PM_at		
1561666_PM_a_at	KIAA1908	114796
1561667_PM_at		
1561668_PM_at		
1561669_PM_at		
1561670_PM_at		
1561671_PM_at	LOC286121	286121
1561672_PM_at		
1561673_PM_at		
1561676_PM_at		
1561677_PM_at	MACROD2	140733
1561678_PM_at		
1561679_PM_at		
1561680_PM_at		
1561682_PM_at		
1561683_PM_at		
1561685_PM_a_at	LOC441178	441178
1561686_PM_at		
1561687_PM_a_at	ZNF382	84911
1561688_PM_at		
1561689_PM_at		
1561690_PM_at		
1561691_PM_at	LOC285735	285735
1561692_PM_at		
1561693_PM_at	LOC400794	400794
1561699_PM_a_at		
1561700_PM_at		
1561702_PM_at		
1561703_PM_at		
1561704_PM_at		
1561705_PM_at		
1561706_PM_at		
1561707_PM_at	LOC150185	150185
1561708_PM_at	C6orf150	115004
1561710_PM_at	SNX19	399979
1561712_PM_at		
1561713_PM_at		
1561714_PM_a_at	B3GALNT2	148789
1561718_PM_at		
1561719_PM_at		
1561720_PM_at	RECQL5	9400
1561721_PM_a_at	C12orf40	283461
1561723_PM_at	LOC339894	339894
1561726_PM_s_at		
1561728_PM_a_at	LOC400238	400238
1561731_PM_at		
1561732_PM_at		
1561733_PM_at		
1561737_PM_at		
1561738_PM_at		
1561739_PM_at		
1561740_PM_at		
1561741_PM_at		
1561749_PM_at		
1561754_PM_at		
1561756_PM_at		
1561757_PM_a_at	LOC283352	283352
1561759_PM_at	LOC645513	645513
1561760_PM_s_at	LOC645513	645513
1561761_PM_x_at	LOC645513	645513
1561762_PM_s_at		
1561763_PM_at		
1561765_PM_at		
1561767_PM_at		
1561770_PM_at		
1561775_PM_at		
1561776_PM_at		
1561777_PM_at		
1561778_PM_at		
1561780_PM_at		
1561785_PM_at	MUC4	4585
1561786_PM_at		
1561789_PM_at		
1561795_PM_at		
1561806_PM_at		
1561813_PM_at		
1561817_PM_at		
1561820_PM_at	SCN8A	6334
1561828_PM_at		
1561829_PM_at		
1561834_PM_a_at		
1561844_PM_at		
1561846_PM_s_at	LOC643677	643677
1561847_PM_at	NUDT17	200035
1561849_PM_at	PKD1L2	114780
1561850_PM_at	LOC100133669	100133669
1561853_PM_a_at	IL23R	149233
1561854_PM_at		
1561855_PM_x_at		
1561856_PM_at		
1561857_PM_at		
1561860_PM_at		
1561861_PM_a_at		
1561863_PM_a_at		
1561864_PM_at		
1561867_PM_at		
1561868_PM_at		
1561870_PM_at		
1561871_PM_at		
1561872_PM_at		
1561877_PM_at		
1561879_PM_at		
1561880_PM_a_at	SIGLEC16	400709
1561881_PM_at		
1561882_PM_at	SYTL3	94120
1561883_PM_at		
1561884_PM_at	CEPT1	10390
1561886_PM_a_at		
1561887_PM_at		
1561889_PM_at		
1561890_PM_at	C10orf128	170371
1561891_PM_at		
1561892_PM_at	ZMYM6	9204
1561893_PM_at		
1561894_PM_at	LOC653739	653739
1561895_PM_at		
1561896_PM_at		
1561897_PM_at		
1561899_PM_at	CLECL1	160365
1561902_PM_at		
1561905_PM_at		
1561906_PM_at		
1561908_PM_a_at	HS3ST3B1	9953
1561909_PM_at		
1561910_PM_at		
1561911_PM_at		
1561912_PM_at		
1561914_PM_at		
1561915_PM_at		
1561916_PM_at		
1561917_PM_at		
1561918_PM_at		
1561919_PM_at		
1561923_PM_a_at	SF3B14	51639
1561924_PM_at		
1561926_PM_at		
1561927_PM_at	C3orf16	389161
1561928_PM_s_at	C3orf16	389161
1561937_PM_x_at		
1561938_PM_at		
1561939_PM_at	DYNC2H1	79659
1561940_PM_at	LOC100128843	100128843
1561942_PM_x_at		
1561944_PM_at		
1561948_PM_at	COQ10B	80219
1561951_PM_at	SLC5A12	159963
1561953_PM_at		
1561956_PM_at		
1561959_PM_x_at		
1561960_PM_at	KIAA1920	114817
1561961_PM_at	DKFZp686A1627	266695
1561962_PM_at		
1561963_PM_at		
1561964_PM_at	LOC441245	441245
1561965_PM_at	SNRPB2	6629
1561966_PM_at		
1561967_PM_at		
1561969_PM_at	ZPLD1	131368
1561973_PM_at	SMARCC2	6601
1561976_PM_at	C1orf167	284498
1561978_PM_at	LOC284798	284798
1561979_PM_at		
1561983_PM_at		
1561984_PM_at		
1561985_PM_at	C14orf39	317761
1561988_PM_at	LOC286068	286068
1561989_PM_at		
1561990_PM_at	LOC157931	157931
1561995_PM_at		
1561997_PM_at	LOC440061	440061
1561998_PM_at		
1562000_PM_at	LOC400620	400620
1562002_PM_at	MYOZ3	91977
1562004_PM_x_at	MYOZ3	91977
1562005_PM_at	RIN3	79890
1562006_PM_at		
1562007_PM_at		
1562009_PM_a_at		
1562010_PM_x_at		
1562011_PM_at		
1562012_PM_at		
1562013_PM_a_at		
1562016_PM_at		
1562017_PM_at	LOC100130654	100130654
1562019_PM_at	NT5DC4	284958
1562020_PM_s_at	NT5DC4	284958
1562022_PM_s_at	LOC100130987 /// RAD9A	100130987 /// 5883
1562023_PM_at		
1562026_PM_at	WNK2	65268
1562028_PM_at	CCND3	896
1562029_PM_at		
1562030_PM_at	LOC284898	284898
1562031_PM_at	JAK2	3717
1562032_PM_at		
1562033_PM_at		
1562034_PM_at	NCRNA00163	727699
1562035_PM_at		
1562036_PM_at		
1562038_PM_at		
1562044_PM_at		
1562045_PM_at	LOC100287951	100287951
1562046_PM_at		
1562048_PM_at	LOC152225	152225
1562049_PM_at	LOC100287807	100287807
1562051_PM_at	LOC284757	284757
1562052_PM_at		
1562053_PM_at		
1562054_PM_at	SMEK3P	139420
1562055_PM_at		
1562056_PM_at		
1562057_PM_at		
1562058_PM_at		
1562059_PM_at		
1562062_PM_at	KIAA1245 /// LOC200030 /// NBPF1 /// NBPF10 /// NBPF11 /// NBPF8 /// NBPF9	100132406 /// 149013 /// 200030 /// 400818 /// 55672 /// 728841 /// 728912
1562063_PM_x_at	KIAA1245 /// LOC200030 /// NBPF1 /// NBPF10 /// NBPF11 /// NBPF8 /// NBPF9	100132406 /// 149013 /// 200030 /// 400818 /// 55672 /// 728841 /// 728912
1562065_PM_at		
1562066_PM_at	C8orf83	286144
1562067_PM_at		
1562068_PM_at		
1562069_PM_at		
1562071_PM_at		
1562073_PM_at		
1562074_PM_a_at	UNC13C	440279
1562076_PM_at		
1562078_PM_at		
1562079_PM_at		
1562080_PM_at		
1562081_PM_a_at		
1562082_PM_at		
1562083_PM_at		
1562084_PM_at		
1562086_PM_at		
1562089_PM_at	GLYATL1	92292
1562091_PM_at		
1562093_PM_at		
1562094_PM_at		
1562095_PM_at		
1562098_PM_at		
1562099_PM_at		
1562100_PM_at		
1562102_PM_at	AKR1C1	1645
1562103_PM_at	JAK1	3716
1562106_PM_at		
1562107_PM_at		
1562110_PM_at		
1562111_PM_at		
1562112_PM_at		
1562116_PM_at		
1562121_PM_at		
1562122_PM_at		
1562130_PM_at	IQCA1	79781
1562133_PM_x_at	ZNF90	7643
1562137_PM_at		
1562139_PM_a_at	FOXP2	93986
1562142_PM_at	SKIV2L2	23517
1562144_PM_at		
1562145_PM_at		
1562152_PM_at		
1562153_PM_a_at	PVT1	5820
1562157_PM_at		
1562158_PM_at		
1562161_PM_at		
1562162_PM_at		
1562163_PM_at		
1562165_PM_at		
1562166_PM_at		
1562167_PM_a_at	DEFB122	245935
1562168_PM_at		
1562169_PM_at		
1562173_PM_a_at		
1562187_PM_at		
1562189_PM_at		
1562190_PM_at		
1562193_PM_at		
1562194_PM_at		
1562201_PM_x_at		
1562208_PM_a_at		
1562209_PM_at	DCAF4L1	285429
1562211_PM_a_at	ZNF491	126069
1562214_PM_at	LOC151171	151171
1562215_PM_at		
1562216_PM_at		
1562217_PM_at	FLJ34521	646383
1562219_PM_at	FLJ41649	401260
1562220_PM_at		
1562222_PM_at		
1562223_PM_at	LOC642426	642426
1562226_PM_at	VWDE	221806
1562227_PM_at	PDE5A	8654
1562228_PM_s_at	PDE5A	8654
1562229_PM_at		
1562230_PM_at		
1562231_PM_at		
1562232_PM_at		
1562234_PM_a_at	NAV3	89795
1562235_PM_s_at		
1562236_PM_at	MYST4	23522
1562238_PM_at	USPL1	10208
1562239_PM_at	SGSM1	129049
1562240_PM_at	PLXNA4	91584
1562244_PM_at	ZNF578	147660
1562245_PM_a_at	ZNF578	147660
1562247_PM_at	LOC286058	286058
1562249_PM_at	LOC285965	285965
1562250_PM_at		
1562251_PM_a_at	LOC574538	574538
1562253_PM_at	LOC641364	641364
1562254_PM_at		
1562255_PM_at	SYTL3	94120
1562256_PM_at	LOC728392 /// NLRP1	22861 /// 728392
1562257_PM_x_at	LOC728392 /// NLRP1	22861 /// 728392
1562259_PM_at	TEX9	374618
1562260_PM_at		
1562261_PM_at	AMZ1	155185
1562263_PM_at		
1562264_PM_at	LOC339685	339685
1562265_PM_at		
1562267_PM_s_at	ZNF709	163051
1562269_PM_at		
1562270_PM_at	ARHGEF7	8874
1562271_PM_x_at	ARHGEF7	8874
1562272_PM_at		
1562273_PM_at	CNGA4	1262
1562274_PM_at		
1562275_PM_at		
1562276_PM_at		
1562278_PM_at	DNAH1	25981
1562280_PM_at		
1562281_PM_at		
1562282_PM_at	ZNF568	374900
1562283_PM_at		
1562286_PM_at		
1562287_PM_at	SNTG1	54212
1562288_PM_at		
1562289_PM_at		
1562290_PM_at		
1562292_PM_at	ANKRD30B	374860
1562294_PM_x_at	ANKRD30B	374860
1562295_PM_at		
1562296_PM_at		
1562297_PM_at		
1562299_PM_at	C14orf25	319089
1562300_PM_at		
1562301_PM_at	C8orf34	116328
1562303_PM_at	ZKSCAN3	80317
1562305_PM_x_at	ZKSCAN3	80317
1562306_PM_at		
1562307_PM_at		
1562308_PM_at	LOC283682	283682
1562309_PM_s_at	PHF21B	112885
1562310_PM_at		
1562311_PM_at		
1562313_PM_at	BCORL2	286554
1562314_PM_at		
1562316_PM_at		
1562317_PM_at	FAM186A	121006
1562319_PM_at	FAM169B	283777
1562320_PM_at	LOC399875	399875
1562321_PM_at	PDK4	5166
1562323_PM_at		
1562324_PM_a_at		
1562326_PM_at	FLJ30838	400955
1562327_PM_at		
1562329_PM_at	CSMD1	64478
1562330_PM_s_at	CSMD1	64478
1562332_PM_at		
1562336_PM_at	CASC2	255082
1562337_PM_at	OR7D2	162998
1562338_PM_at	1-Mar	55016
1562341_PM_at		
1562342_PM_at		
1562346_PM_at		
1562348_PM_at	LOC400680	400680
1562349_PM_at	TRAPPC2	6399
1562351_PM_at		
1562352_PM_at		
1562353_PM_x_at		
1562358_PM_at		
1562364_PM_at	GVIN1	387751
1562365_PM_at	LOC286177	286177
1562367_PM_at	C15orf54	400360
1562368_PM_at	CARD11	84433
1562371_PM_s_at	VWA3B	200403
1562372_PM_at	SV2C	22987
1562373_PM_at		
1562378_PM_s_at	PROM2	150696
1562380_PM_at		
1562381_PM_at	LOC285830	285830
1562383_PM_at		
1562384_PM_at		
1562386_PM_s_at	ZNF501	115560
1562387_PM_at	C5orf42	65250
1562388_PM_at	LOC285819	285819
1562389_PM_at		
1562390_PM_at		
1562391_PM_at	B3GALNT2	148789
1562392_PM_at	MRPL23	6150
1562396_PM_at	C14orf184	650662
1562398_PM_at		
1562399_PM_at		
1562400_PM_at	LOC283112	283112
1562403_PM_a_at	SLC8A3	6547
1562406_PM_at		
1562408_PM_at		
1562409_PM_s_at		
1562411_PM_at	MYLK3	91807
1562412_PM_at		
1562413_PM_at	NCRNA00167	440072
1562414_PM_at		
1562415_PM_a_at	SPOCD1	90853
1562416_PM_at		
1562418_PM_at		
1562420_PM_at		
1562424_PM_at	LOC285889	285889
1562425_PM_at	FARP1	10160
1562426_PM_a_at	FARP1	10160
1562428_PM_at	LOC654780	654780
1562431_PM_x_at		
1562432_PM_at		
1562433_PM_at	FLJ10489	379034
1562434_PM_at	UNK	85451
1562436_PM_at	CARS	833
1562439_PM_at	NCOA3	8202
1562440_PM_at	MAP3K13	9175
1562442_PM_a_at	SSBP1	6742
1562443_PM_at	CLVS2	134829
1562446_PM_at	ZNF391	346157
1562447_PM_a_at		
1562449_PM_s_at		
1562453_PM_at		
1562454_PM_at		
1562455_PM_at		
1562456_PM_at		
1562457_PM_at	NCKAP5L	57701
1562458_PM_at	UBE2W	55284
1562459_PM_at		
1562460_PM_at	CNDP2	55748
1562462_PM_at	DNAH10	196385
1562463_PM_at		
1562464_PM_at		
1562467_PM_at		
1562468_PM_at		
1562469_PM_at	FLJ22536	401237
1562470_PM_at	C1orf83	127428
1562472_PM_at		
1562473_PM_at		
1562474_PM_at		
1562475_PM_at	DKFZp686O1327	401014
1562476_PM_at		
1562477_PM_at	EBF2	64641
1562478_PM_at		
1562480_PM_at		
1562481_PM_at		
1562482_PM_at		
1562484_PM_at	C17orf104	284071
1562487_PM_at		
1562488_PM_at	FAM38B	63895
1562490_PM_at	THEM5	284486
1562491_PM_at		
1562492_PM_at	LOC340090	340090
1562495_PM_at	ANKFY1	51479
1562496_PM_at	LOC339539	339539
1562497_PM_at		
1562499_PM_at		
1562501_PM_at	LOC255177	255177
1562502_PM_at		
1562505_PM_at		
1562507_PM_at		
1562509_PM_at		
1562510_PM_at	LOC339442	339442
1562511_PM_at	LYST	1130
1562512_PM_at	SMPDL3A	10924
1562514_PM_at		
1562516_PM_at	WDR60	55112
1562520_PM_at		
1562523_PM_at		
1562524_PM_at		
1562527_PM_at	LOC283027	283027
1562528_PM_at		
1562529_PM_s_at		
1562532_PM_at		
1562537_PM_at	FCER1A	2205
1562540_PM_at	LOC339978	339978
1562541_PM_at		
1562543_PM_at		
1562544_PM_at		
1562546_PM_at		
1562549_PM_at		
1562550_PM_at		
1562553_PM_at		
1562557_PM_at		
1562558_PM_at	LOC440704	440704
1562559_PM_at	C9orf89	84270
1562562_PM_at	C3orf16	389161
1562563_PM_at	HCN1	348980
1562566_PM_at	LOC643749	643749
1562568_PM_at	LOC400541	400541
1562572_PM_at		
1562573_PM_at	CYP17A1	1586
1562576_PM_at		
1562577_PM_at		
1562579_PM_at		
1562581_PM_at	LOC254028	254028
1562582_PM_at	TPTE2P1	646405
1562583_PM_s_at	TPTE2P1	646405
1562585_PM_at	LOC284263	284263
1562586_PM_at		
1562587_PM_at	CLNK	116449
1562588_PM_at		
1562589_PM_at		
1562590_PM_at	PRTG	283659
1562591_PM_a_at	OFCC1	266553
1562595_PM_at		
1562596_PM_at		
1562597_PM_at		
1562598_PM_at	LOC100128292	100128292
1562600_PM_at		
1562601_PM_at	UNQ6975	400952
1562603_PM_at	RAD51L3	5892
1562604_PM_at		
1562606_PM_a_at	LOC440028	440028
1562607_PM_at		
1562608_PM_at		
1562610_PM_at		
1562611_PM_at		
1562612_PM_at		
1562613_PM_at		
1562616_PM_at		
1562617_PM_at	LOC340074	340074
1562619_PM_at	TXNDC6	347736
1562621_PM_at		
1562623_PM_at	LOC146513	146513
1562624_PM_at		
1562625_PM_at	FRYL	285527
1562627_PM_at	LOC100130078	100130078
1562628_PM_at	KRT40	125115
1562629_PM_a_at	KRT40	125115
1562630_PM_at		
1562631_PM_at		
1562632_PM_at	LOC285191	285191
1562633_PM_at	RMST	196475
1562634_PM_at		
1562637_PM_at	SAMD12	401474
1562638_PM_at	LOC339874	339874
1562639_PM_at	KIF6	221458
1562640_PM_at	LOC285943	285943
1562641_PM_at	FAM122C	159091
1562642_PM_at		
1562643_PM_at		
1562644_PM_at	MTHFD2L	441024
1562645_PM_at	LOC401176	401176
1562648_PM_at	CCDC88A	55704
1562650_PM_at	FRYL	285527
1562651_PM_at	ZSCAN1	284312
1562653_PM_at		
1562655_PM_at		
1562656_PM_at		
1562657_PM_a_at	C10orf90	118611
1562659_PM_at	LOC400548	400548
1562661_PM_at		
1562664_PM_at	LOC286009	286009
1562665_PM_at		
1562669_PM_at		
1562670_PM_at		
1562671_PM_s_at		
1562673_PM_at		
1562674_PM_at		
1562675_PM_at	LOC100128003	100128003
1562677_PM_at		
1562678_PM_at		
1562681_PM_at	LOC338651	338651
1562682_PM_at	RORA	6095
1562683_PM_a_at	LOC285547	285547
1562684_PM_at		
1562686_PM_at		
1562687_PM_x_at		
1562688_PM_at		
1562689_PM_at	LOC151484	151484
1562690_PM_at		
1562691_PM_at		
1562693_PM_at		
1562694_PM_at	C3orf65	646600
1562695_PM_at	FOXN4	121643
1562696_PM_at		
1562697_PM_at	LOC339988	339988
1562698_PM_x_at	LOC339988	339988
1562699_PM_at		
1562701_PM_at		
1562703_PM_at	LOC157381	157381
1562710_PM_at		
1562712_PM_at		
1562713_PM_a_at	NETO1	81832
1562715_PM_at		
1562716_PM_at	LOC284632	284632
1562717_PM_at	C2orf46	339789
1562718_PM_at		
1562719_PM_at		
1562720_PM_at		
1562722_PM_at	PRR20A /// PRR20B /// PRR20C /// PRR20D /// PRR20E	122183 /// 729233 /// 729240 /// 729246 /// 729250
1562723_PM_at		
1562724_PM_at	LOC286114	286114
1562727_PM_at		
1562728_PM_at		
1562729_PM_at		
1562730_PM_a_at		
1562731_PM_s_at	MDS2	259283
1562732_PM_at		
1562733_PM_at	NCRNA00092	100188953
1562736_PM_at	LHX9	56956
1562737_PM_at		
1562738_PM_a_at	LOC100130855	100130855
1562739_PM_at	LOC285593	285593
1562740_PM_at	LOC285224	285224
1562741_PM_at	UBXN4	23190
1562742_PM_at		
1562743_PM_at	ZNF33B	7582
1562745_PM_at		
1562747_PM_at		
1562748_PM_at	LOC253044	253044
1562749_PM_at	LOC644090	644090
1562750_PM_at		
1562751_PM_at		
1562752_PM_at		
1562753_PM_at	ST6GALNAC5	81849
1562754_PM_at	LOC339260	339260
1562755_PM_at		
1562759_PM_at		
1562760_PM_at		
1562761_PM_at	C9orf95	54981
1562762_PM_at	C3orf56	285311
1562764_PM_at		
1562765_PM_at	LOC100128025	100128025
1562766_PM_at		
1562770_PM_at		
1562771_PM_at		
1562772_PM_a_at	DAND5	199699
1562775_PM_at	NUDT12	83594
1562776_PM_at	LOC339807	339807
1562777_PM_at		
1562778_PM_at	FAM166A	401565
1562780_PM_at		
1562783_PM_at	LOC100128840	100128840
1562785_PM_at	HERC6	55008
1562786_PM_at		
1562787_PM_at		
1562788_PM_at	LOC254099	254099
1562789_PM_at	ZNF229	7772
1562790_PM_at	NCALD	83988
1562791_PM_at	MYCBPAP	84073
1562792_PM_at	NIPAL1	152519
1562793_PM_at		
1562794_PM_at		
1562797_PM_at		
1562799_PM_at	LOC100130285	100130285
1562800_PM_at		
1562801_PM_at		
1562802_PM_at		
1562803_PM_at	C9orf29	652972
1562805_PM_at	LOC349408	349408
1562810_PM_at		
1562811_PM_at		
1562812_PM_at	C10orf44	414201
1562815_PM_at	EFCAB6	64800
1562817_PM_at		
1562818_PM_at	NMNAT2	23057
1562820_PM_at		
1562821_PM_a_at		
1562822_PM_at		
1562823_PM_at		
1562825_PM_at		
1562826_PM_at		
1562827_PM_at		
1562828_PM_at		
1562829_PM_at	LOC339568	339568
1562830_PM_at	METT5D1	196074
1562831_PM_a_at	LOC283089	283089
1562832_PM_at	C3orf65	646600
1562834_PM_at		
1562835_PM_at		
1562836_PM_at		
1562839_PM_at	LOC100272228	100272228
1562841_PM_at	LOC339666	339666
1562844_PM_at	LOC339822	339822
1562845_PM_at	EP400NL	347918
1562847_PM_at		
1562848_PM_at		
1562849_PM_at		
1562850_PM_at		
1562852_PM_at		
1562853_PM_x_at		
1562854_PM_at		
1562856_PM_at		
1562857_PM_at		
1562860_PM_at		
1562861_PM_at		
1562862_PM_at		
1562863_PM_at		
1562864_PM_at		
1562865_PM_at		
1562866_PM_at		
1562869_PM_at		
1562870_PM_at		
1562871_PM_at		
1562873_PM_at	PWRN1	791114
1562876_PM_s_at	LOC541471	541471
1562878_PM_at		
1562879_PM_at		
1562880_PM_at	LOC100288238	100288238
1562885_PM_at		
1562886_PM_at		
1562888_PM_at	GLB1L3	112937
1562890_PM_at		
1562891_PM_at		
1562892_PM_at	CHCHD5	84269
1562893_PM_at		
1562894_PM_at		
1562895_PM_at		
1562896_PM_at	TNRC18	84629
1562898_PM_at		
1562899_PM_at		
1562901_PM_at	LOC400456	400456
1562902_PM_at		
1562903_PM_at	FLJ10661	286042
1562904_PM_s_at	FLJ10661	286042
1562905_PM_at		
1562906_PM_at	FAM170A	340069
1562907_PM_at		
1562908_PM_at	LOC339468	339468
1562909_PM_at	C1orf98	554279
1562910_PM_at	SH3PXD2B	285590
1562914_PM_a_at	FLJ25328	148231
1562915_PM_at		
1562916_PM_at	NCRNA00102	100359394
1562918_PM_at		
1562919_PM_at	FAM45A	404636
1562920_PM_at	LOC441086	441086
1562921_PM_at		
1562922_PM_at		
1562923_PM_at		
1562924_PM_at	LOC340357	340357
1562925_PM_at		
1562926_PM_at		
1562927_PM_at		
1562928_PM_at		
1562930_PM_at	LOC100128788	100128788
1562932_PM_at		
1562933_PM_at		
1562934_PM_at		
1562935_PM_at		
1562937_PM_at		
1562938_PM_at		
1562939_PM_at	LRRC16A	55604
1562940_PM_at		
1562941_PM_at		
1562942_PM_at		
1562943_PM_at	NCRNA00186	
1562944_PM_at	ZNF707	286075
1562945_PM_at		
1562946_PM_at		
1562947_PM_x_at		
1562948_PM_at		
1562949_PM_at		
1562950_PM_at		
1562953_PM_s_at	C4orf12	404201
1562955_PM_at		
1562957_PM_at		
1562960_PM_at	LOC338653	338653
1562961_PM_at		
1562962_PM_at		
1562965_PM_at		
1562966_PM_at	KIAA1217	56243
1562969_PM_at	DNMBP	23268
1562970_PM_at		
1562972_PM_at	LOC503519	503519
1562973_PM_at		
1562974_PM_at	LOC100289617	100289617
1562976_PM_at	LOC100289070	100289070
1562979_PM_at		
1562981_PM_at	HBB	3043
1562982_PM_at		
1562983_PM_at	LOC441025	441025
1562984_PM_at		
1562988_PM_at	ZNF397OS	100101467
1562989_PM_at		
1562990_PM_at		
1562991_PM_at	ZNF292	23036
1562992_PM_at		
1562996_PM_at		
1562997_PM_a_at		
1562998_PM_at		
1562999_PM_x_at		
1563000_PM_at		
1563001_PM_at		
1563002_PM_at		
1563003_PM_at	ITGAX	3687
1563005_PM_at		
1563007_PM_at		
