ID	Gene Symbol	GENE_ID
1552493_PM_s_at	CYP11B1	1584
1552494_PM_at	TAF8	129685
1552496_PM_a_at	COBL	23242
1552497_PM_a_at	SLAMF6	114836
1552498_PM_at	ZSCAN20	7579
1552499_PM_a_at	ZSCAN20	7579
1552501_PM_a_at	GPBAR1	151306
1552502_PM_s_at	RHBDL2	54933
1552503_PM_at	FRAS1	80144
1552504_PM_a_at	BRSK1	84446
1552506_PM_at	CRB2	286204
1552507_PM_at	KCNE4	23704
1552508_PM_at	KCNE4	23704
1552509_PM_a_at	CD300LG	146894
1552510_PM_at	SLC34A3	142680
1552511_PM_a_at	CPA6	57094
1552514_PM_at	WBP2NL	164684
1552515_PM_at	HIPK1	204851
1552516_PM_a_at	HIPK1	204851
1552518_PM_s_at	MTBP	27085
1552519_PM_at	ACVR1C	130399
1552520_PM_at	TMEM74	157753
1552521_PM_a_at	TMEM74	157753
1552522_PM_at	TIGD4	201798
1552523_PM_a_at	TIGD4	201798
1552524_PM_at	ART5	116969
1552526_PM_at	FAM71C	196472
1552528_PM_at	C21orf67	84536
1552531_PM_a_at	NLRP11	204801
1552532_PM_a_at	ATP6V1C2	245973
1552535_PM_at	CLDN19	149461
1552536_PM_at	VTI1A	143187
1552538_PM_a_at	KIF6	221458
1552540_PM_s_at	IQCD	115811
1552541_PM_at	TAGAP	117289
1552542_PM_s_at	TAGAP	117289
1552543_PM_a_at	STON2	85439
1552544_PM_at	SERPINA12	145264
1552546_PM_a_at	LETM2	137994
1552548_PM_at	BSND	7809
1552549_PM_a_at	BSND	7809
1552552_PM_s_at	CLEC4C	170482
1552553_PM_a_at	NLRC4	58484
1552554_PM_a_at	NLRC4	58484
1552555_PM_at	PRSS36	146547
1552557_PM_a_at	ZDHHC15	158866
1552558_PM_a_at	RAI1	10743
1552559_PM_a_at	CDK15	65061
1552562_PM_at	ZNF570	148268
1552563_PM_a_at		
1552564_PM_at	NUDT9P1	119369
1552566_PM_at	BTBD16	118663
1552568_PM_at	RTP3	83597
1552569_PM_a_at	RTP3	83597
1552570_PM_at	C21orf29	54084
1552572_PM_a_at	MIPOL1	145282
1552573_PM_s_at	MIPOL1	145282
1552575_PM_a_at	C6orf141	135398
1552576_PM_at	ALMS1P	200420
1552578_PM_a_at	MYO3B	140469
1552579_PM_a_at	ADAM21	8747
1552580_PM_at	TRIML2	205860
1552582_PM_at	ABCC13	150000
1552583_PM_s_at	ABCC13	150000
